date,sampling_role,matched_pair_id,matched_date,divergence,market_regime_20d,market_volatility_bin
20211202,high_residual_case,M0002,20211208,7.27,up,high
20211203,high_residual_case,M0003,20211210,-2.66,up,high
20211207,high_residual_case,M0004,20211209,-2.55,up,high
20211214,high_residual_case,M0005,20211213,-3.48,up,mid
20211215,high_residual_case,M0006,20211221,-5.5,up,mid
20211216,high_residual_case,M0007,20211223,-3.47,up,mid
20211217,high_residual_case,M0008,20211224,2.26,up,mid
20211220,high_residual_case,M0009,20211230,3.46,up,mid
20211222,high_residual_case,M0010,20211227,6.35,up,mid
20220104,high_residual_case,M0067,20220103,5.26,up,low
20220107,high_residual_case,M0069,20220419,-2.41,up,low
20220110,high_residual_case,M0070,20220415,-4.16,down,low
20220111,high_residual_case,M0071,20220422,-2.67,down,low
20220112,high_residual_case,M0072,20220413,3.5,up,low
20220113,high_residual_case,M0073,20220412,-2.99,up,low
20220114,high_residual_case,M0074,20220117,2.36,down,low
20220124,high_residual_case,M0076,20220121,-2.59,down,low
20220125,high_residual_case,M0047,20220608,-3.54,down,mid
20220128,high_residual_case,M0012,20220203,-4.36,down,high
20220207,high_residual_case,M0013,20220208,3.22,down,high
20220210,high_residual_case,M0014,20220209,-6.65,down,high
20220211,high_residual_case,M0015,20220204,-2.01,down,high
20220214,high_residual_case,M0016,20220324,-4.14,down,high
20220215,high_residual_case,M0017,20220322,-2.02,down,high
20220216,high_residual_case,M0018,20220218,3.62,down,high
20220217,high_residual_case,M0019,20220222,-2.41,down,high
20220221,high_residual_case,M0020,20220224,3.84,down,high
20220223,high_residual_case,M0021,20220711,4.7,down,high
20220228,high_residual_case,M0023,20220712,-2.94,down,high
20220302,high_residual_case,M0024,20220304,-4,down,high
20220308,high_residual_case,M0025,20220311,-1.87,down,high
20220310,high_residual_case,M0026,20220315,4.07,down,high
20220314,high_residual_case,M0027,20220321,2.23,down,high
20220316,high_residual_case,M0028,20220307,-2.74,down,high
20220317,high_residual_case,M0029,20220325,-2.37,down,high
20220323,high_residual_case,M0030,20220318,3.71,down,high
20220328,high_residual_case,M0048,20220329,2.86,down,mid
20220330,high_residual_case,M0049,20220531,-2.87,down,mid
20220331,high_residual_case,M0050,20220530,2.97,down,mid
