date,sampling_role,matched_pair_id,matched_date,divergence
20240103,high_residual_case,M0189,20240104,-3.03
20240109,high_residual_case,M0190,20240108,1.77
20240118,high_residual_case,M0191,20240117,-1.95
20240122,high_residual_case,M0192,20240124,1.83
20240123,high_residual_case,M0193,20240126,1.81
20240125,high_residual_case,M0194,20240112,1.82
20240131,high_residual_case,M0236,20240729,2.05
20240202,high_residual_case,M0195,20240205,9.71
20240206,high_residual_case,M0196,20240405,1.84
20240207,high_residual_case,M0197,20240408,6.08
20240208,high_residual_case,M0198,20240409,-4.44
20240213,high_residual_case,M0159,20240424,-3.27
20240214,high_residual_case,M0160,20240215,-2.83
20240216,high_residual_case,M0199,20240221,6
20240223,high_residual_case,M0201,20240220,-7.48
20240226,high_residual_case,M0202,20240227,-3.1
20240228,high_residual_case,M0203,20240305,1.91
20240304,high_residual_case,M0205,20240621,-4.92
20240306,high_residual_case,M0238,20240307,2.43
20240320,high_residual_case,M0239,20240318,2.9
20240321,high_residual_case,M0206,20240326,3.94
20240322,high_residual_case,M0207,20240327,4.01
20240325,high_residual_case,M0208,20240328,-3.93
20240401,high_residual_case,M0240,20240715,-5.59
20240402,high_residual_case,M0241,20240716,1.89
20240403,high_residual_case,M0209,20240712,2.28
20240404,high_residual_case,M0210,20241218,-2.13
20240411,high_residual_case,M0211,20240329,-3.85
20240412,high_residual_case,M0212,20240613,7.01
20240415,high_residual_case,M0242,20240618,2.09
20240416,high_residual_case,M0213,20240417,4.32
20240418,high_residual_case,M0214,20240105,4.53
20240419,high_residual_case,M0215,20240110,-4.95
20240425,high_residual_case,M0161,20240426,-4.75
20240430,high_residual_case,M0162,20240429,-2.12
20240508,high_residual_case,M0163,20240507,2.95
20240514,high_residual_case,M0164,20240513,-5.39
20240517,high_residual_case,M0165,20240516,3.04
20240520,high_residual_case,M0218,20240802,-1.89
20240522,high_residual_case,M0243,20240617,-2.26
20240524,high_residual_case,M0244,20240605,3.12
20240527,high_residual_case,M0245,20240523,-1.93
20240528,high_residual_case,M0246,20240311,-2.2
20240529,high_residual_case,M0247,20240531,-2.63
20240607,high_residual_case,M0219,20240919,7.92
20240610,high_residual_case,M0248,20240604,2.42
20240611,high_residual_case,M0249,20240603,-3.75
20240614,high_residual_case,M0250,20240612,-2.16
20240619,high_residual_case,M0220,20241202,5.83
20240620,high_residual_case,M0221,20241121,-2
20240624,high_residual_case,M0251,20240315,-2.38
20240626,high_residual_case,M0253,20240308,2.3
20240628,high_residual_case,M0254,20240701,-2.15
20240702,high_residual_case,M0255,20240703,-3.69
20240704,high_residual_case,M0256,20240314,3.03
20240705,high_residual_case,M0257,20240710,4.84
20240711,high_residual_case,M0258,20240708,2.86
20240717,high_residual_case,M0259,20240719,-3.31
20240724,high_residual_case,M0261,20240722,-2.51
20240725,high_residual_case,M0262,20241107,3.51
20240726,high_residual_case,M0263,20240723,2.81
20240731,high_residual_case,M0264,20240102,2.44
20240801,high_residual_case,M0265,20240313,-2.8
20240814,high_residual_case,M0166,20240812,3.44
20240821,high_residual_case,M0167,20240820,-2.8
20240827,high_residual_case,M0168,20240828,3.13
20240903,high_residual_case,M0222,20240912,4.63
20240904,high_residual_case,M0223,20240906,-2.26
20240905,high_residual_case,M0266,20241101,-2.55
20240910,high_residual_case,M0267,20240911,2.21
20240913,high_residual_case,M0224,20241127,2.41
20240920,high_residual_case,M0225,20241104,1.86
20240923,high_residual_case,M0226,20241029,2.35
20240924,high_residual_case,M0227,20241105,3.65
20240925,high_residual_case,M0228,20240909,-8.02
20240926,high_residual_case,M0169,20240927,3.28
20241004,high_residual_case,M0170,20241002,-1.93
20241007,high_residual_case,M0171,20240930,-2.1
20241008,high_residual_case,M0172,20241010,2.87
20241015,high_residual_case,M0173,20241014,-2.3
20241021,high_residual_case,M0175,20241022,-3.53
20241023,high_residual_case,M0176,20241017,2.69
20241024,high_residual_case,M0177,20241016,-3.22
20241025,high_residual_case,M0178,20241011,4.92
20241030,high_residual_case,M0229,20241031,-2.41
20241106,high_residual_case,M0268,20240116,2.57
20241114,high_residual_case,M0231,20240130,-4.01
20241115,high_residual_case,M0232,20241111,-3.38
20241120,high_residual_case,M0233,20241217,2.18
20241122,high_residual_case,M0234,20241219,4.97
20241126,high_residual_case,M0180,20241129,-3.58
20241203,high_residual_case,M0181,20241125,1.8
20241204,high_residual_case,M0182,20241220,-3.37
20241205,high_residual_case,M0183,20241209,2.61
20241206,high_residual_case,M0184,20241224,3.46
20241212,high_residual_case,M0185,20241213,2.1
20241216,high_residual_case,M0186,20241211,1.8
20241227,high_residual_case,M0188,20241226,-3.36
20250103,high_residual_case,M0269,20250102,2.21
20250106,high_residual_case,M0270,20250108,2.09
20250107,high_residual_case,M0271,20250512,2.15
20250109,high_residual_case,M0305,20250113,-4.79
20250114,high_residual_case,M0306,20250115,-1.95
20250121,high_residual_case,M0336,20250123,-1.9
20250122,high_residual_case,M0337,20250124,1.95
20250131,high_residual_case,M0338,20250211,2.68
20250203,high_residual_case,M0307,20250204,-3.37
20250206,high_residual_case,M0308,20250205,4.16
20250207,high_residual_case,M0339,20250210,-2.74
20250212,high_residual_case,M0340,20250213,2.05
20250214,high_residual_case,M0341,20250217,1.95
20250219,high_residual_case,M0342,20250221,1.79
20250310,high_residual_case,M0309,20250307,1.86
20250320,high_residual_case,M0310,20250321,2.58
20250326,high_residual_case,M0311,20250324,-2.56
20250401,high_residual_case,M0312,20250402,-3.33
20250407,high_residual_case,M0272,20250408,-3.34
20250409,high_residual_case,M0273,20250508,-1.88
20250410,high_residual_case,M0274,20250411,4.88
20250425,high_residual_case,M0275,20250424,4.32
20250428,high_residual_case,M0276,20250429,-2.25
20250430,high_residual_case,M0277,20251118,3.47
20250513,high_residual_case,M0343,20250519,3.42
20250526,high_residual_case,M0344,20250527,2.15
20250528,high_residual_case,M0345,20250522,5.35
20250529,high_residual_case,M0346,20250605,2.99
20250530,high_residual_case,M0347,20250610,4.44
20250602,high_residual_case,M0348,20250226,-5.16
20250604,high_residual_case,M0349,20250613,8.95
20250609,high_residual_case,M0350,20250220,-2.27
20250611,high_residual_case,M0351,20250619,3.55
20250612,high_residual_case,M0352,20250620,3.22
20250616,high_residual_case,M0313,20250630,3.4
20250617,high_residual_case,M0314,20250404,1.99
20250618,high_residual_case,M0353,20250224,-2.38
20250623,high_residual_case,M0354,20250901,4.41
20250624,high_residual_case,M0315,20250820,4.14
20250625,high_residual_case,M0355,20250225,3.8
20250626,high_residual_case,M0316,20250403,-4.67
20250627,high_residual_case,M0317,20250812,-3.18
20250701,high_residual_case,M0356,20250218,3.06
20250702,high_residual_case,M0357,20250227,-2.74
20250704,high_residual_case,M0318,20250818,-2.46
20250708,high_residual_case,M0319,20250707,3.15
20250709,high_residual_case,M0320,20250721,5.11
20250715,high_residual_case,M0323,20250805,-2.52
20250724,high_residual_case,M0359,20250728,-2.72
20250725,high_residual_case,M0360,20250729,1.81
20250801,high_residual_case,M0324,20250806,-2.74
20250821,high_residual_case,M0326,20250325,2.21
20250822,high_residual_case,M0327,20250318,-2.13
20250826,high_residual_case,M0329,20250317,-3.17
20250828,high_residual_case,M0330,20250827,4.05
20250902,high_residual_case,M0361,20250514,-2.51
20250904,high_residual_case,M0362,20250903,2.81
20250909,high_residual_case,M0363,20250908,1.94
20250910,high_residual_case,M0364,20250731,2.65
20250911,high_residual_case,M0365,20250915,3.6
20250912,high_residual_case,M0366,20250922,2.09
20250916,high_residual_case,M0367,20250923,-1.89
20250919,high_residual_case,M0368,20250917,3.84
20250925,high_residual_case,M0369,20250924,-2.73
20250926,high_residual_case,M0331,20250807,-2.34
20250929,high_residual_case,M0370,20251001,-2.44
20250930,high_residual_case,M0371,20250730,2.62
20251002,high_residual_case,M0332,20250813,6.85
20251010,high_residual_case,M0333,20250808,-3.75
20251013,high_residual_case,M0334,20250814,2.19
20251014,high_residual_case,M0335,20250811,-3.7
20251017,high_residual_case,M0278,20251016,-2.66
20251020,high_residual_case,M0279,20251021,-2.24
20251027,high_residual_case,M0280,20251030,2.98
20251029,high_residual_case,M0282,20251103,-5.54
20251031,high_residual_case,M0283,20251022,-5.98
20251104,high_residual_case,M0284,20251106,2.17
20251105,high_residual_case,M0285,20251110,-3.98
20251111,high_residual_case,M0287,20251212,5.39
20251112,high_residual_case,M0288,20251023,3.83
20251114,high_residual_case,M0289,20251208,-2.02
20251117,high_residual_case,M0290,20251203,-3.08
20251120,high_residual_case,M0291,20251119,2.2
20251124,high_residual_case,M0292,20251202,3.94
20251125,high_residual_case,M0293,20251126,5.43
20251204,high_residual_case,M0294,20251216,2.34
20251205,high_residual_case,M0295,20251223,-3.71
20251209,high_residual_case,M0296,20251219,2.1
20251210,high_residual_case,M0297,20251211,-3.18
20251215,high_residual_case,M0298,20251224,-2.23
20251217,high_residual_case,M0299,20250228,-3
20251218,high_residual_case,M0300,20251201,2.48
20251222,high_residual_case,M0301,20251015,2.77
20251226,high_residual_case,M0302,20250714,2.45
20251230,high_residual_case,M0304,20250716,4.73
