date,skq_price,hynix_price,regime,divergence,high_residual,event_name,direction,importance,note,source
20211129,76000,116000,,,,,,,,
20211130,68000,114000,동일,-9.17,Y,,,,,
20211201,62700,116500,교차,-9.47,Y,,,,,
20211202,68700,120000,동일,7.27,Y,,,,,
20211203,66000,118000,동일,-2.66,,,,,,
20211206,66000,118500,Zero,-0.35,,,,,,
20211207,65600,121500,교차,-2.55,,,,,,
20211208,64600,120000,동일,-0.64,,,,,,
20211209,65100,123500,동일,-1.53,,,,,,
20211210,63300,120500,동일,-1.03,,,,,,
20211213,63000,121500,교차,-1.03,,,,,,
20211214,60600,121000,동일,-3.48,Y,,,,,
20211215,58200,123500,교차,-5.5,Y,,,,,
20211216,56400,124000,교차,-3.47,Y,,,,,
20211217,57000,122000,교차,2.26,,,,,,
20211220,58400,120500,교차,3.46,Y,,,,,
20211221,60900,124500,동일,1.74,,,,,,
20211222,65700,127000,동일,6.35,Y,,,,,
20211223,64900,127500,교차,-1.49,,,,,,
20211224,65800,128000,동일,1.05,,,,,,
20211227,65200,126000,동일,0.33,,,,,,
20211228,64800,127500,교차,-1.6,,"SK스퀘어, 국내최대 農 혁신기업 ‘그린랩스’에 투자",,,,
20211229,64500,127000,동일,-0.24,,기타경영사항(자율공시),,,,
20211230,66400,131000,동일,0.49,,기타경영사항(자율공시),,,,
20220103,66500,128500,,,,,,,,
20220104,70000,128500,Zero,5.26,Y,,,,,
20220105,67600,125500,동일,-1.56,,,,,,
20220106,61700,125000,동일,-8.36,Y,,,,,
20220107,61000,127000,교차,-2.41,,,,,,
20220110,57500,124500,동일,-4.16,Y,,,,,
20220111,57200,128000,교차,-2.67,,,,,,
20220112,59400,128500,동일,3.5,Y,,,,,
20220113,58000,129500,교차,-2.99,,,,,,
20220114,59000,128500,교차,2.36,,,,,,
20220117,59300,127000,교차,1.43,,,,,,
20220118,62900,126500,교차,6.42,Y,,,,,
20220119,62300,127000,교차,-1.23,,,,,,
20220120,62500,125000,교차,1.52,,,,,,
20220121,60800,119000,동일,1.04,,,,,,
20220124,59200,119000,Zero,-2.59,,,,,,
20220125,56700,118000,동일,-3.54,Y,,,,,
20220126,57200,117500,교차,1.2,,,,,,
20220127,54800,113500,동일,-1.57,,,,,,
20220128,55000,120500,동일,-4.36,Y,금전대여결정(자회사의 주요경영사항)(기재정정) | 매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항) | 타법인주식및출자증권취득결정(자회사의 주요경영사항) | 현금ㆍ현물배당결정(자회사의 주요경영사항),,,,
20220203,56200,124000,,,,매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항) | 금전대여결정(자회사의 주요경영사항)(기재정정) | 타법인주식및출자증권취득결정(자회사의 주요경영사항) | 현금ㆍ현물배당결정(자회사의 주요경영사항),,,,
20220204,56900,124500,동일,0.92,,,,,,
20220207,58200,123000,교차,3.22,Y,,,,,
20220208,58600,125000,동일,-0.57,,,,,,
20220209,59800,126000,동일,1.39,,주요사항보고서(자기주식처분결정),,,,
20220210,57100,129500,교차,-6.65,Y,주요사항보고서(자기주식처분결정),,,,
20220211,56800,132000,교차,-2.01,,재무상태표 – 2021년 11월 1일 기준,,,,
20220214,54600,132500,교차,-4.14,Y,자기주식처분결과보고서,,,,
20220215,51700,127000,동일,-2.02,,자기주식처분결과보고서,,,,
20220216,54700,130500,동일,3.62,Y,,,,,
20220217,54200,133000,교차,-2.41,,,,,,
20220218,54200,131500,Zero,0.84,,,,,,
20220221,55800,130000,교차,3.84,Y,,,,,
20220222,55100,128500,동일,-0.31,,,,,,
20220223,57700,128500,Zero,4.7,Y,,,,,
20220224,55300,122500,동일,-0.48,,기타경영사항(자율공시) | 주요사항보고서(자기주식처분결정)(자회사의 주요경영사항),,,,
20220225,57300,123000,동일,3.29,Y,기타경영사항(자율공시) | 주요사항보고서(자기주식처분결정)(자회사의 주요경영사항),,,,
20220228,55800,123500,교차,-2.94,,Q4 ’21 Portfolio Update,,,,
20220302,54100,125000,,,,,,,,
20220303,55100,129000,동일,-0.65,,,,,,
20220304,53000,124500,동일,-1.09,,,,,,
20220307,50700,119500,동일,-1.24,,,,,,
20220308,49250,118000,동일,-1.87,,,,,,
20220310,51900,120000,,,,,,,,
20220311,51400,117000,동일,0.9,,,,,,
20220314,52200,116000,교차,2.23,,,,,,
20220315,51300,112500,동일,0.59,,,,,,
20220316,51300,116500,Zero,-2.74,,기타안내사항(안내공시),,,,
20220317,52600,124000,동일,-2.37,,기타안내사항(안내공시),,,,
20220318,53500,124000,Zero,1.71,,2021-Pro Forma 연결재무제표,,,,
20220321,53500,122000,Zero,1.26,,,,,,
20220322,53700,123500,동일,-0.57,,,,,,
20220323,55700,123500,Zero,3.71,Y,,,,,
20220324,55600,120500,동일,1.71,,,,,,
20220325,55100,118000,동일,0.69,,,,,,
20220328,56700,118000,Zero,2.86,,,,,,
20220329,57500,120000,동일,0.09,,"SK스퀘어, 제1기 정기 주주총회 개최",,,,
20220330,56200,121000,교차,-2.87,,,,,,
20220331,56800,118000,교차,2.97,,유상증자결정(자회사의 주요경영사항),,,,
20220401,56300,116000,동일,0.42,,유상증자결정(자회사의 주요경영사항),,,,
20220404,56200,117000,교차,-0.83,,,,,,
20220405,56500,116500,교차,0.87,,,,,,
20220406,56700,113000,교차,2.65,,,,,,
20220407,55400,113500,교차,-2.67,,풍문또는보도에대한해명,,,,
20220408,56200,112000,교차,2.47,,풍문또는보도에대한해명,,,,
20220411,56100,111500,동일,0.17,,,,,,
20220412,55400,111000,동일,-0.92,,,,,,
20220413,57000,113000,동일,1.52,,,,,,
20220414,57500,110000,교차,2.89,,,,,,
20220415,57100,108000,동일,0.65,,,,,,
20220418,55700,109000,교차,-3.14,Y,,,,,
20220419,56500,112500,동일,-0.96,,,,,,
20220420,56700,112500,Zero,0.34,,,,,,
20220421,56300,113000,교차,-1.04,,,,,,
20220422,55400,110500,동일,0.09,,,,,,
20220425,54500,108000,동일,0.12,,,,,,
20220426,54400,111000,교차,-2.25,,,,,,
20220427,52800,108500,동일,-1.23,,주요사항보고서(자기주식처분결정)(자회사의 주요경영사항) | 현금ㆍ현물배당결정(자회사의 주요경영사항),,,,
20220428,52600,109500,교차,-1.08,,주요사항보고서(자기주식처분결정)(자회사의 주요경영사항) | 현금ㆍ현물배당결정(자회사의 주요경영사항),,,,
20220429,52700,112500,동일,-1.87,,주요사항보고서(자기주식처분결정),,,,
20220502,51400,110500,동일,-1.13,,자기주식처분결과보고서,,,,
20220503,51400,110000,Zero,0.34,,자기주식처분결과보고서,,,,
20220504,50500,109500,동일,-1.41,,,,,,
20220506,48400,107500,,,,[기재정정]유상증자결정,,,,
20220509,45850,107500,Zero,-5.23,Y,"SK스퀘어-SKT, 글로벌 게임사 ‘해긴’에 공동 투자",,,,
20220510,46200,110000,동일,-0.98,,,,,,
20220511,44700,110500,교차,-3.57,Y,,,,,
20220512,43100,109000,동일,-2.54,,,,,,
20220513,44400,112500,동일,0.6,,,,,,
20220516,44600,110500,교차,1.8,,분기보고서 (2022.03),,,,
20220517,44650,112500,동일,-1.26,,"Q1 ’22 Portfolio Update | SK스퀘어, 2022년 1분기 실적 발표",,,,
20220518,45000,113500,동일,0.11,,,,,,
20220519,44700,111000,동일,1.01,,,,,,
20220520,46350,112500,동일,2.66,,,,,,
20220523,46950,113000,동일,0.97,,,,,,
20220524,45500,108500,동일,-0.06,,,,,,
20220525,45950,108000,교차,1.34,,,,,,
20220526,45500,103000,동일,2.49,,,,,,
20220527,46000,106000,동일,-1.07,,,,,,
20220530,47100,107000,동일,1.67,,,,,,
20220531,47300,108000,동일,-0.29,,기업지배구조보고서공시,,,,
20220602,46150,107000,,,,기업지배구조보고서공시,,,,
20220603,46950,107000,Zero,1.73,,,,,,
20220607,45250,104000,,,,[기재정정]타법인주식및출자증권취득결정(자회사의 주요경영사항),,,,
20220608,45850,106000,동일,-0.1,,[기재정정]타법인주식및출자증권취득결정(자회사의 주요경영사항),,,,
20220609,46500,105500,교차,1.77,,,,,,
20220610,45600,103500,동일,-0.53,,,,,,
20220613,43000,99000,동일,-2.43,,,,,,
20220614,42900,99100,교차,-0.28,,,,,,
20220615,41850,97900,동일,-1.54,,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항),,,,
20220616,42300,97400,교차,1.45,,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항),,,,
20220617,43050,96400,교차,2.54,,,,,,
20220620,41800,94500,동일,-1.43,,,,,,
20220621,41500,95200,교차,-1.27,,,,,,
20220622,40600,92200,동일,0.15,,,,,,
20220623,39000,90200,동일,-2.34,,,,,,
20220624,40950,91600,동일,3.84,Y,,,,,
20220627,41950,95000,동일,-0.24,,,,,,
20220628,41400,95300,교차,-1.54,,주요사항보고서(자기주식처분결정),,,,
20220629,40750,94000,동일,-0.58,,주요사항보고서(자기주식처분결정),,,,
20220630,39050,91000,동일,-1.85,,"SK스퀘어, 사외이사-임직원 토크콘서트 개최",,,,
20220701,38950,87500,동일,2.51,,자기주식처분결과보고서,,,,
20220704,38200,89100,교차,-3.22,Y,,,,,
20220705,39550,92500,동일,0.79,,,,,,
20220706,38100,92100,동일,-3.35,Y,,,,,
20220707,39600,93900,동일,2.53,,,,,,
20220708,39800,94800,동일,-0.18,,,,,,
20220711,39800,93700,Zero,0.83,,,,,,
20220712,39500,93300,동일,-0.42,,,,,,
20220713,40600,94000,동일,2.22,,,,,,
20220714,39800,94000,Zero,-1.97,,,,,,
20220715,40350,98700,동일,-2.22,,,,,,
20220718,40950,101000,동일,-0.23,,,,,,
20220719,40400,100000,동일,-0.61,,타법인주식및출자증권처분결정(자율공시),,,,
20220720,41500,102000,동일,1.24,,타법인주식및출자증권처분결정(자율공시),,,,
20220721,41750,102500,동일,0.22,,,,,,
20220722,41150,100000,동일,0.34,,,,,,
20220725,41600,100000,Zero,1.1,,,,,,
20220726,41600,100500,Zero,-0.37,,최대주주등소유주식변동신고서,,,,
20220727,42500,100000,교차,2.52,,최대주주등소유주식변동신고서,,,,
20220728,42700,99400,교차,0.92,,현금ㆍ현물배당결정(자회사의 주요경영사항),,,,
20220729,42750,97900,교차,1.22,,,,,,
20220801,42450,97100,동일,-0.11,,,,,,
20220802,41200,96500,동일,-2.48,,,,,,
20220803,41800,97500,동일,0.69,,,,,,
20220804,42000,97500,Zero,0.46,,,,,,
20220805,42650,98500,동일,0.79,,,,,,
20220808,43000,96300,교차,2.46,,,,,,
20220809,42200,95100,동일,-0.96,,,,,,
20220810,42300,91800,교차,2.75,,,,,,
20220811,43750,93300,동일,2.25,,,,,,
20220812,43250,93300,Zero,-1.14,,[기재정정]타법인주식및출자증권처분결정(자율공시),,,,
20220816,43700,96700,,,,[기재정정]타법인주식및출자증권처분결정(자율공시),,,,
20220817,43750,97100,동일,-0.17,,"Q2 ’22 Portfolio Update | SK스퀘어, 2022년 2분기 실적 발표",,,,
20220818,43600,95700,동일,0.71,,,,,,
20220819,42950,96400,교차,-2.0,,,,,,
20220822,41200,95200,동일,-3.14,Y,,,,,
20220823,40400,93600,동일,-0.72,,,,,,
20220824,40500,93200,교차,0.56,,,,,,
20220825,41000,94100,동일,0.53,,,,,,
20220826,41100,95100,동일,-0.53,,,,,,
20220829,39600,92500,동일,-1.65,,,,,,
20220830,39750,93200,동일,-0.18,,,,,,
20220831,40500,95200,동일,0.35,,,,,,
20220901,39400,92400,동일,-0.58,,,,,,
20220902,39050,91700,동일,-0.38,,,,,,
20220905,39050,91100,Zero,0.47,,,,,,
20220906,40200,91800,동일,2.38,,,,,,
20220907,39850,90400,동일,0.26,,,,,,
20220908,42100,90400,Zero,5.62,Y,,,,,
20220913,43400,94800,,,,,,,,
20220914,42650,93000,동일,-0.34,,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항),,,,
20220915,42600,92000,동일,0.62,,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정(자회사의 주요경영사항),,,,
20220916,41750,91200,동일,-1.34,,,,,,
20220919,40800,90000,동일,-1.3,,,,,,
20220920,40200,88000,동일,0.11,,,,,,
20220921,39600,88000,Zero,-1.48,,[기재정정]타법인주식및출자증권처분결정(자율공시),,,,
20220922,39450,86000,동일,1.24,,[기재정정]타법인주식및출자증권처분결정(자율공시),,,,
20220923,39000,83500,동일,0.94,,,,,,
20220926,37000,82500,동일,-4.24,Y,,,,,
20220927,36150,82000,동일,-1.87,,,,,,
20220928,36350,81200,교차,1.27,,,,,,
20220929,35750,80800,동일,-1.3,,,,,,
20220930,36150,83100,동일,-0.86,,,,,,
20221004,38100,86200,,,,,,,,
20221005,38850,89800,동일,-0.98,,,,,,
20221006,38950,89900,동일,0.16,,,,,,
20221007,38900,91200,교차,-1.16,,,,,,
20221011,37500,90200,,,,,,,,
20221012,38150,94000,동일,-1.29,,,,,,
20221013,38100,94900,교차,-0.79,,,,,,
20221014,38400,95500,동일,0.31,,,,,,
20221017,39400,95200,교차,2.83,,,,,,
20221018,39400,95800,Zero,-0.47,,,,,,
20221019,38750,92900,동일,0.55,,,,,,
20221020,38200,90200,동일,0.68,,,,,,
20221021,37950,90500,교차,-0.88,,,,,,
20221024,38600,91800,동일,0.67,,,,,,
20221025,38000,93500,교차,-2.88,,,,,,
20221026,39000,93900,동일,2.33,,,,,,
20221027,39000,90000,Zero,3.0,Y,현금ㆍ현물배당결정(자회사의 주요경영사항),,,,
20221028,36750,83400,동일,-0.52,,현금ㆍ현물배당결정(자회사의 주요경영사항),,,,
20221031,36950,82700,교차,1.12,,,,,,
20221101,36750,83900,교차,-1.57,,,,,,
20221102,37200,84500,동일,0.72,,풍문또는보도에대한해명(미확정),,,,
20221103,36850,82700,동일,0.56,,풍문또는보도에대한해명(미확정),,,,
20221104,36600,84500,교차,-2.2,,,,,,
20221107,38100,86500,동일,2.43,,,,,,
20221108,38550,87700,동일,0.19,,,,,,
20221109,39100,89200,동일,0.21,,,,,,
20221110,39100,89100,Zero,0.07,,,,,,
20221111,40800,93500,동일,0.82,,,,,,
20221114,40500,90900,동일,1.27,,분기보고서 (2022.09),,,,
20221115,40050,91600,교차,-1.67,,"Q3 ’22 Portfolio Update | SK스퀘어, 2022년 3분기 실적 발표",,,,
20221116,40450,91500,교차,1.08,,,,,,
20221117,39200,87700,동일,-0.1,,,,,,
