date,skq_ret,nav_discount_pct,nav_discount_delta,category,event,direction,importance,note,source
20180901,,,,자회사,11번가 설립 및 나일홀딩스 컨소시엄으로부터 5천억원 투자 유치,?,M,"Direction: 상장이전
Importance: 비핵심자회사의 투자 유치",DB증권 리포트 20231026
20190901,,,,자회사,"콘텐츠웨이브, POOQ과 옥수수 통합으로 설립",?,L,"Direction: 상장이전
Importance: 비핵심자회사의 투자 유치",DB증권 리포트 20231026
20201201,,,,자회사,"티맵모빌리티, SK텔레콤으로부터 물적분할 설립",?,L,"Direction: 상장이전
Importance: 비핵심자회사의 투자 유치",DB증권 리포트 20231026
20210326,,,,자회사,"웨이브, 2025년까지 1조원 규모 투자 계획 발표",?,L,"Direction: 상장이전
Importance: 비핵심자회사의 자본지출",대신증권 리포트 20220921
20210329,,,,자회사,콘텐츠웨이브 유상증자 실시,?,L,"Direction: 상장이전
Importance: 비핵심자회사의 Capital Injection",SK증권 리포트 20231116
20210617,,,,자회사,원스토어 유상증자 실시 (가치 평가 기준),?,L,"Direction: 상장이전
Importance: 비핵심자회사로 Capital Injection",SK증권 리포트 20230602
20210831,,,,자회사,"11번가, 아마존스토어와 T우주패스 서비스 출시",?,L,"Direction: 상장이전
Importance: 비핵심자회사의 신규서비스",현대차증권 리포트 20220117
20211101,,,,지배구조,SKT로부터 인적분할하여 신설법인으로 유가증권시장 상장,?,M,"Direction: 상장이전
Importance: 별도 기준 본사의 일반적 사항",대신증권 리포트 20221115
20211101,,,,지배구조,SK텔레콤 인적분할로 SK스퀘어 출범 (2021년 12월 지주회사 승인),?,M,"Direction: 상장이전
Importance: 별도 기준 본사의 일반적 사항",다올투자증권 리포트 20220516
20211105,,,,자회사,원스토어 전환우선주 보통주 전환,?,L,"Direction: 상장이전
Importance: 비핵심 자회사의 자본구조 조정",다올투자증권 리포트 20220721
20211118,,,,신규투자,가상자산거래소 코빗에 900억원 지분투자 발표,?,L,"Direction: 상장이전
Importance: 비핵심자산 지분 취득",다올투자증권 리포트 20220516
20211123,,,,신규투자,디지털 휴먼 제작사 온마인드에 80억원 지분투자 발표,?,L,"Direction: 상장이전
Importance: 비핵심자산 지분 취득",다올투자증권 리포트 20220516
20211125,,,,자회사,"원스토어, 블리자드 디아블로 이모탈 사전예약 개시",?,L,"Direction: 상장이전
Importance: 비핵심자회사의 신규서비스",현대차증권 리포트 20220117
20211126,,,,자회사,원스토어 코스피 상장 예비심사 청구,?,L,"Direction: 상장이전
Importance: 비핵심자회사의 IPO Process 시작",현대차증권 리포트 20220117
20211129,,,,지배구조,SKT에서 인적분할하여 신설법인으로 신규 상장,?,L,"Direction: 별도 기준 본사의 일반적 사항
Importance: 별도 기준 본사의 일반적 사항",대신증권 리포트 20230331
20211129,,,,NAV 할인율,출범 당시 NAV 할인율 56.8%로 상대적 저평가 인식 (재평가 기대),+,H,"Direction: 별도 기준 본사의 일반적 사항
Importance: SK스퀘어 주가의 저평가 현황을 조명",다올투자증권 리포트 20220516
20211130,-10.53,59,4.2,자회사,11번가 월간 활성 사용자수(MAU) 1000만명 돌파,?,L,"Direction: 비핵심자산의 비재무지표
Importance: 비핵심자산의 일반적 사항",현대차증권 리포트 20220117
20211227,-0.91,63.7,-0.1,신규투자,"SK스퀘어, 국내최대 農 혁신기업 ‘그린랩스’에 투자",-,L,"Direction: 핵심사업 (AI/반도체 투자)와 정합성 결여. 현금 유출
Importance: 비핵심자산 지분 취득",SK스퀘어 홈페이지 뉴스룸 20211227
20211231,,,,실적발표,"SK스퀘어 2021년 연결 매출 1.1조원, 영업이익 4,198억원",?,M,"Direction: 지주업 특성상 분기실적이 일별 주가에 방향성에 주는 영향은 제한적
Importance: 자회사 실적 뉴스 대비 높은 시장 관심도",대신증권 리포트 20220921
