date,category,event,direction,importance,note,source
20211102,지배구조,SK텔레콤 인적분할 단행 ? SK스퀘어 공식 설립,,,,
20211129,기타,KOSPI 재상장 첫날 ? 시초가 82000원 기관·외국인 매도로 76000원(-7.32%) 마감,,,,
20230622,자사주,자사주 1063억원(1.8% 2486535주) 소각 이사회 결의,,,,
20230720,자회사,SK쉴더스 EQT파트너스(발렌베리그룹) 매각 완료 ? 현금 8600억 확보,,,,
20240325,자사주,765억원(128729주) 자사주 소각 결정 공시 (소각 예정일 4월 1일),,,,
20240522,자사주,1000억 자사주 소각 발표 + 3개월 내 1000억 추가 매입소각 선언 ? NAV 할인율 50% 이하 목표 제시,,,,
20241030,밸류업,기업가치 제고 계획(Value-up) 11월 내 공시 예정일 사전 발표,,,,
20241113,실적발표,2024년 3분기 실적 발표,,,,
20241129,자회사,11번가 콜옵션 행사 포기 이사회 의결 ? FI 동반매도권(Drag-along) 강제 매각 허용,,,,
20250318,실적발표,2024년 4분기 실적 발표,,,,
20250325,실적발표,2024년 연간실적 발표 ? 영업이익 3.9조 사상 최대 흑자 전환,,,,
20250514,실적발표,2025년 1분기 실적 발표 ? 매출 서프라이즈 YoY +338%,,,,
20250813,실적발표,2025년 2분기 실적 발표 ? 매출 서프라이즈 YoY +299%,,,,
20251124,밸류업,기업가치 제고 계획 상향 발표 ? 기존 목표 조기 달성 선언 + 2028년까지 NAV 할인율 30% 이하로 목표 강화,,,,
20260325,주주환원,제5기 주총 ? 26~28년 주주환원율 30%+ 결의·3100억 단기 환원·자본준비금 5.89조 이익잉여금 전입,,,,
20260514,실적발표,2026년 1분기 영업이익 8.27조 발표 ? 분기 사상 최대·YoY +400% 폭증,,,,
20260617,기타,SK증권 목표주가 185만원으로 상향 ? 기관 프록시 매수세 부각,,,,
20260623,기타,장중 사상 최고가 218만원 돌파 후 차익 실현 ? 종가 197만원(-7%),,,,
20260625,SK하이닉스,마이크론 실적 서프라이즈 발표 ? SK하이닉스 +13% 동조 상승 · KOSPI 시총 10위 진입(62조),,,,
20260626,매크로,미 기술주 쇼크 ? 필라델피아 반도체지수 -5.3% 파급 · SKQ -9.42% 동조 하락,,,,
20260629,매크로,미 반도체지수 주간 -7% 파급 ? KOSPI -2.87% · 외국인 매도 우위 · SKQ -4.65%,,,,
