값,의미,예시,,,,,,#,넣을 검색어
자사주,"자사주 매입·소각, 주주환원","""3천억 자사주 매입·소각 발표""",,,,,,1,2021년 11월 분할상장 직후 통신·배당 투자자 매도
실적,분기/연간 실적 발표,"""3Q 영업이익 컨센 상회""",,,,,,2,2022년 초 SK쉴더스·원스토어 IPO 철회
지배구조,분할·합병·지분구조 변경,"""SK스퀘어-SK하이닉스 지분 재편""",,,,,,3,2022년 말 반도체 업황 부진
규제,정부·규제 이슈,"""공매도 금지 조치""",,,,,,4,2023년 초 SK쉴더스 매각 및 첫 주주환원 정책 발표
고객사,자회사·피투자사 이슈,"""11번가 매각설""",,,,,,5,2023년 중후반 11번가 콜옵션 행사 우려
매크로,거시·시장 전반,"""美 반도체 수출규제""",,,,,,6,2024년 초 정부 밸류업 프로그램 발표
기타,위에 안 맞는 것,,,,,,,7,2024년 말 반도체 업황 개선
,,,,,,,,8,2024년 11월 SK스퀘어 기업가치 제고계획 발표
,,,,,,,,9,2025년 4월 이재명 정부 출범·상법 개정 공약
,,,,,,,,10,2025년 8월 1차 상법 개정 실행
,,,,,,,,11,2025년 10월 2차 상법 개정 실행
,,,,,,,,12,2025년 11월 SK스퀘어 기업가치 제고계획 발표
,,,,,,,,13,2026년 상반기 AI·반도체 수요 증가
,,,,,,,,14,2026년 상반기 3차 상법 개정 기대 및 주주환원 정책 발표
