date,category,event,direction,importance,note,source
20180901,자회사,11번가 설립 및 나일홀딩스 컨소시엄으로부터 5천억원 투자 유치,?,L,온라인 쇼핑 플랫폼,DB증권 리포트 20231026
20190901,자회사,"콘텐츠웨이브, POOQ과 옥수수 통합으로 설립",?,L,토종 OTT 플랫폼,DB증권 리포트 20231026
20201201,자회사,"티맵모빌리티, SK텔레콤으로부터 물적분할 설립",?,L,모빌리티 사업 영위,DB증권 리포트 20231026
20210326,자회사,"웨이브, 2025년까지 1조원 규모 투자 계획 발표",+,M,오리지널 콘텐츠 강화,대신증권 리포트 20220921
20210329,자회사,콘텐츠웨이브 유상증자 (NAV 가치평가 기준),?,L,,SK증권 리포트 20240205
20210617,자회사,원스토어 유상증자 (NAV 가치평가 기준),?,L,,SK증권 리포트 20240205
20211101,지배구조,SKT로부터 인적분할하여 신설법인으로 상장,?,H,상장 초기 주가 하락 후 하이닉스와 커플링,대신증권 리포트 20250818
20211101,지배구조,SK텔레콤 인적분할로 SK스퀘어 출범 (2021년 12월 지주회사 승인),?,M,2021년 12월 지주회사 승인,다올투자증권 리포트 20220516
20211101,지배구조,SKT 인적분할로 SK스퀘어 신설법인 상장,-,H,"상장 초기 SKT와 디커플링, 주가 하락",대신증권 리포트 20251015
20211101,지배구조,SK텔레콤으로부터 인적 분할하여 SK스퀘어 설립,?,M,반도체 및 ICT 투자회사,DB증권 리포트 20231026
20211101,기타,SK텔레콤으로부터 인적분할하여 SK스퀘어 상장,?,L,"지주회사 전환, 이후 할인율 적용",SK증권 리포트 20230110
20211105,자회사,원스토어 전환우선주 보통주 전환,?,L,2021년 6월 유상증자분,다올투자증권 리포트 20220721
20211118,신규투자,가상자산거래소 코빗에 900억원 지분투자 발표,+,M,출범 후 첫 투자,다올투자증권 리포트 20220516
20211123,신규투자,디지털 휴먼 제작사 온마인드에 80억원 지분투자 발표,+,L,메타버스 관련 투자,다올투자증권 리포트 20220516
20211128,주주환원,사상 최대 규모 중간배당 결정,+,M,2021년 11월 28일 이사회 결의,다올투자증권 리포트 20220721
20211129,지배구조,SKT 인적분할로 SK스퀘어 신규 상장,?,H,상장 후 주가 하락,대신증권 리포트 20240517
20211129,자회사,SKT 인적분할 통한 SK스퀘어 신설법인 상장,-,H,상장 후 주가 하락,대신증권 리포트 20241122
20211129,자회사,SK스퀘어 코스피 신규 상장,?,H,NAV 할인율 64%로 시작,대신증권 리포트 20231116
20211129,기타,"SK스퀘어, 가상자산거래소 '코빗'과 디지털휴먼 제작사 '온마인드'에 투자",?,L,,SK스퀘어 홈페이지 뉴스룸 20211129
20211129,기타,SKT로부터 인적분할하여 신규 상장,?,M,상장 초기 주가 하락,대신증권 리포트 20230621
20211129,자회사,SKT로부터 인적분할 후 신설법인으로 상장,?,H,,대신증권 리포트 20241204
20211129,밸류업,출범 당시 NAV 할인율 56.8%로 상대적 저평가 인식 (재평가 기대),+,M,ICT/플랫폼 기업 재평가 기대,다올투자증권 리포트 20220516
20211129,지배구조,SKT 인적 분할 통해 SK스퀘어 설립 및 상장,?,H,ICT 투자전문회사 출범,대신증권 리포트 20220921
20211129,지배구조,SKT로부터 인적분할하여 SK스퀘어 신규 상장,?,H,,대신증권 리포트 20260428
20211129,기타,SK스퀘어 유가증권시장 신규 상장,?,M,신규 상장,다올투자증권 리포트 20220516
