date,foreign_own_pct,individual_net
2021-11-29,43.2,51981697100
2021-11-30,42.9,87279459500
2021-12-01,42.78,64212023900
2021-12-02,42.3,-1458405000
2021-12-03,42.44,51421408800
2021-12-06,42.16,36169361600
2021-12-07,41.28,39877338300
2021-12-08,40.8,21743291600
2021-12-09,40.56,19648872000
2021-12-10,40.0,25349714800
2021-12-13,39.8,12674122200
2021-12-14,39.66,31981339300
2021-12-15,39.4,40418574200
2021-12-16,39.03,41107718400
2021-12-17,38.44,22903793100
2021-12-20,38.2,4098750200
2021-12-21,37.97,-1521441300
2021-12-22,37.7,-49553747200
2021-12-23,37.88,-4639344800
2021-12-24,37.97,-13781091600
2021-12-27,38.1,-6858214800
2021-12-28,38.25,-13654784200
2021-12-29,38.4,5632547200
2021-12-30,38.4,-6096416000
2022-01-03,38.56,-1363854100
2022-01-04,38.56,-42356414600
2022-01-05,38.7,16376710600
2022-01-06,38.56,39193252800
2022-01-07,38.4,26997120000
2022-01-10,38.16,38167724400
2022-01-11,37.84,18046029500
2022-01-12,37.6,3728250200
2022-01-13,37.47,15260790400
2022-01-14,37.3,-1580330400
2022-01-17,37.38,-1348347100
2022-01-18,37.34,-37648065400
2022-01-19,37.72,858432300
2022-01-20,37.72,5595436600
2022-01-21,37.62,3256247200
2022-01-24,37.6,-7018994800
2022-01-25,37.66,9685337400
2022-01-26,37.53,-1948104500
2022-01-27,37.53,14054381300
2022-01-28,37.44,14210821100
2022-02-03,37.22,708822200
2022-02-04,37.28,1537849700
2022-02-07,37.2,2139890600
2022-02-08,37.22,-9682997000
2022-02-09,37.3,-14548229000
2022-02-10,37.44,6270094100
2022-02-11,37.5,-2179095700
2022-02-14,37.62,-1087466000
2022-02-15,37.66,25319984500
2022-02-16,37.6,-20187868000
2022-02-17,37.88,-6428001800
2022-02-18,38.06,1191090900
2022-02-21,38.06,-12872824000
2022-02-22,38.2,-8131920200
2022-02-23,38.38,-18410828100
2022-02-24,38.66,3063043500
2022-02-25,38.66,-15299460300
2022-02-28,38.94,9898492500
2022-03-02,39.2,25364680600
2022-03-03,39.1,1019941700
2022-03-04,39.12,27293576600
2022-03-07,38.8,32707627400
2022-03-08,38.5,13913820850
2022-03-10,38.38,-19443618000
2022-03-11,38.66,2405609900
2022-03-14,38.78,-4797285300
2022-03-15,38.84,2445451300
2022-03-16,38.72,6045519200
2022-03-17,38.72,-16677150800
2022-03-18,39.0,-8042161500
2022-03-21,39.16,-1563810400
2022-03-22,39.12,-3936455100
2022-03-23,39.22,-11838338000
2022-03-24,39.28,7685189100
2022-03-25,39.25,-1512630000
2022-03-28,39.28,-21749015500
2022-03-29,39.5,1226137700
2022-03-30,39.4,3941418400
2022-03-31,39.34,-3812247300
2022-04-01,39.38,2637368500
2022-04-04,39.38,382322600
2022-04-05,39.38,-2177902800
2022-04-06,39.47,2243877200
2022-04-07,39.5,5153416200
2022-04-08,39.6,-985016900
2022-04-11,39.62,-1361391200
2022-04-12,39.6,42840100
2022-04-13,39.6,-10836451200
2022-04-14,39.72,-5818156700
2022-04-15,39.8,-219530600
2022-04-18,39.78,5690135400
2022-04-19,39.6,-4848098600
2022-04-20,39.66,-2269764400
2022-04-21,39.8,1802166600
2022-04-22,39.8,2387072400
2022-04-25,39.84,-2915487500
2022-04-26,39.9,187414400
2022-04-27,39.94,6140936600
2022-04-28,39.94,3288516100
2022-04-29,39.97,1678272700
2022-05-02,39.9,9718911900
2022-05-03,39.9,17625500
2022-05-04,39.94,7837353100
2022-05-06,39.9,16314309800
2022-05-09,39.8,11792208550
2022-05-10,39.75,824617950
2022-05-11,39.8,6018830750
2022-05-12,39.84,785019800
2022-05-13,39.9,-2559860700
2022-05-16,39.97,533566350
2022-05-17,39.97,167125800
2022-05-18,39.94,-1833805900
2022-05-19,40.0,-3662746800
2022-05-20,40.12,-7650415800
2022-05-23,40.28,-2330415900
2022-05-24,40.3,1241590100
2022-05-25,40.34,-890532100
2022-05-26,40.34,-390211150
2022-05-27,40.34,-1721621000
2022-05-30,40.4,-4031168550
2022-05-31,40.47,702246550
2022-06-02,40.53,5548661100
2022-06-03,40.47,-4483481800
2022-06-07,40.53,7268807600
2022-06-08,40.47,-4181692200
2022-06-09,40.53,-2320648100
2022-06-10,40.53,1212291150
2022-06-13,40.53,837443750
2022-06-14,40.5,-4554532950
2022-06-15,40.6,-949010100
2022-06-16,40.62,-3581772050
2022-06-17,40.72,-4560902100
2022-06-20,40.78,-1678968200
2022-06-21,40.78,623336250
2022-06-22,40.8,-3721731300
2022-06-23,40.88,-3508814250
2022-06-24,40.88,-6102511750
2022-06-27,40.97,-2761608350
2022-06-28,41.03,1791372350
2022-06-29,40.97,782561500
2022-06-30,41.0,6308050900
2022-07-01,40.9,-1991552000
2022-07-04,40.9,510734300
2022-07-05,40.9,-3792847200
2022-07-06,40.94,3373800700
2022-07-07,40.94,-6619502350
2022-07-08,41.03,151316700
2022-07-11,41.06,-1107006950
2022-07-12,41.06,-1699234300
2022-07-13,41.12,-4131972300
2022-07-14,41.16,3364608400
2022-07-15,41.12,-1619222950
2022-07-18,41.12,-648517500
2022-07-19,41.16,-30145450
2022-07-20,41.2,-2224828000
2022-07-21,41.25,-1026888750
2022-07-22,41.28,861238350
2022-07-25,41.28,-1081116500
2022-07-26,41.28,-335252050
2022-07-27,41.28,-3878166300
2022-07-28,41.25,-1770495200
2022-07-29,41.22,-1123298750
2022-08-01,41.22,-489208000
2022-08-02,41.2,2975652750
2022-08-03,41.25,-223641700
2022-08-04,41.28,291364200
2022-08-05,41.3,-1902527150
2022-08-08,41.3,-230246400
2022-08-09,41.34,2066313700
2022-08-10,41.28,-1688853350
2022-08-11,41.38,-6957678650
2022-08-12,41.38,1740256350
2022-08-16,41.34,-1667489050
2022-08-17,41.34,479755700
2022-08-18,41.3,473673250
2022-08-19,41.34,1270617300
2022-08-22,41.34,4807522700
2022-08-23,41.3,2448766450
2022-08-24,41.3,2594676500
2022-08-25,41.28,472049800
2022-08-26,41.28,-476514450
2022-08-29,41.28,1327046250
2022-08-30,41.3,1980265050
2022-08-31,41.3,-1601148700
2022-09-01,41.38,2697275200
2022-09-02,41.4,2213819250
2022-09-05,41.5,-2279065050
2022-09-06,41.5,-3597009000
2022-09-07,41.56,390965950
2022-09-08,41.6,-18125162400
2022-09-13,41.1,-6254183250
2022-09-14,41.22,-2626628900
2022-09-15,41.25,-1330385350
2022-09-16,41.3,225780000
2022-09-19,41.25,-611942800
2022-09-20,41.28,1128238900
2022-09-21,41.25,1409397850
2022-09-22,41.25,-71760200
2022-09-23,41.25,-820570800
2022-09-26,41.28,1804839900
2022-09-27,41.22,2662187550
2022-09-28,41.22,-3666782250
2022-09-29,41.3,-507207550
2022-09-30,41.34,-1521005750
2022-10-04,41.38,-4187687650
2022-10-05,41.4,-4798899350
2022-10-06,41.53,-723283500
2022-10-07,41.53,-1599093050
2022-10-11,41.6,-1602936800
2022-10-12,41.75,-2060994650
2022-10-13,41.78,-798874100
2022-10-14,41.8,1850424150
2022-10-17,41.9,-2937957200
2022-10-18,41.97,1016403650
2022-10-19,41.94,-1007063100
2022-10-20,42.0,141581400
2022-10-21,42.03,-802654550
2022-10-24,42.03,-2088985700
2022-10-25,42.03,265824400
2022-10-26,42.03,-2135559700
2022-10-27,42.1,-2513010300
2022-10-28,42.12,7190237650
2022-10-31,42.06,306815150
2022-11-01,42.06,917471750
2022-11-02,42.06,954541750
2022-11-03,42.06,11942607200
2022-11-04,41.9,-187745800
2022-11-07,41.94,-7285673350
2022-11-08,42.03,-2892088850
2022-11-09,42.06,-3922093350
2022-11-10,42.12,-1514095800
2022-11-11,42.1,-7267374350
2022-11-14,42.12,-1153588850
2022-11-15,42.12,1043904850
2022-11-16,42.12,-1105290100
2022-11-17,42.12,2889045200
2022-11-18,42.1,2685864750
2022-11-21,42.1,3677404900
2022-11-22,42.0,4414668000
2022-11-23,41.97,-2055294450
2022-11-24,41.97,1560917550
2022-11-25,41.97,985950450
2022-11-28,41.97,1756837000
2022-11-29,41.94,118566750
2022-11-30,41.94,-2225979800
2022-12-01,42.03,-12271950
2022-12-02,42.0,480371400
2022-12-05,42.03,4276723900
2022-12-06,41.94,4390175600
2022-12-07,41.9,2476608650
2022-12-08,41.88,-6836150
2022-12-09,41.84,139340800
2022-12-12,41.8,-1041657600
2022-12-13,41.8,998406150
2022-12-14,41.78,-375426500
2022-12-15,41.8,738967150
2022-12-16,41.8,1204071450
2022-12-19,41.8,-2374046600
2022-12-20,41.88,1739289050
2022-12-21,41.84,-312048150
2022-12-22,41.84,-4433132450
2022-12-23,41.9,1674225250
2022-12-26,42.47,-474897850
2022-12-27,42.53,-4636194000
2022-12-28,42.56,2220188150
2022-12-29,42.56,2539287500
2023-01-02,42.62,1326769400
2023-01-03,42.5,2633655450
2023-01-04,42.38,-3697888400
2023-01-05,42.28,220882950
2023-01-06,42.34,-1529770700
2023-01-09,42.38,-1651663600
2023-01-10,42.4,-2281383250
2023-01-11,42.44,-2920614600
2023-01-12,42.47,-3403957050
2023-01-13,42.53,-944034100
2023-01-16,42.53,36577800
2023-01-17,42.5,329444750
2023-01-18,42.47,-105932300
2023-01-19,42.47,-43093400
2023-01-20,42.47,451159700
2023-01-25,42.44,-2559721250
2023-01-26,42.44,-3180597400
2023-01-27,42.47,-4003330450
2023-01-30,42.53,-615654450
2023-01-31,42.47,3888904700
