date,fut_listed,fut_basis,fut_basis_pct,fut_volume
20211129,0,,,
20211130,0,,,
20211201,0,,,
20211202,0,,,
20211203,0,,,
20211206,0,,,
20211207,0,,,
20211208,0,,,
20211209,0,,,
20211210,0,,,
20211213,0,,,
20211214,0,,,
20211215,0,,,
20211216,0,,,
20211217,0,,,
20211220,0,,,
20211221,0,,,
20211222,0,,,
20211223,0,,,
20211224,0,,,
20211227,0,,,
20211228,0,,,
20211229,0,,,
20211230,0,,,
20220103,0,,,
20220104,0,,,
20220105,0,,,
20220106,0,,,
20220107,0,,,
20220110,0,,,
20220111,0,,,
20220112,0,,,
20220113,0,,,
20220114,0,,,
20220117,0,,,
20220118,0,,,
20220119,0,,,
20220120,0,,,
20220121,0,,,
20220124,0,,,
20220125,0,,,
20220126,0,,,
20220127,0,,,
20220128,0,,,
20220203,0,,,
20220204,0,,,
20220207,0,,,
20220208,0,,,
20220209,0,,,
20220210,0,,,
20220211,0,,,
20220214,0,,,
20220215,0,,,
20220216,0,,,
20220217,0,,,
20220218,0,,,
20220221,0,,,
20220222,0,,,
20220223,0,,,
20220224,0,,,
20220225,0,,,
20220228,0,,,
20220302,0,,,
20220303,0,,,
20220304,0,,,
20220307,0,,,
20220308,0,,,
20220310,0,,,
20220311,0,,,
20220314,0,,,
20220315,0,,,
20220316,0,,,
20220317,0,,,
20220318,0,,,
20220321,0,,,
20220322,0,,,
20220323,0,,,
20220324,0,,,
20220325,0,,,
20220328,0,,,
20220329,0,,,
20220330,0,,,
20220331,0,,,
20220401,0,,,
20220404,0,,,
20220405,0,,,
20220406,0,,,
20220407,0,,,
20220408,0,,,
20220411,0,,,
20220412,0,,,
20220413,0,,,
20220414,0,,,
20220415,0,,,
20220418,0,,,
20220419,0,,,
20220420,0,,,
20220421,0,,,
20220422,0,,,
20220425,0,,,
20220426,0,,,
20220427,0,,,
20220428,0,,,
20220429,0,,,
20220502,0,,,
20220503,0,,,
20220504,0,,,
20220506,0,,,
20220509,0,,,
20220510,0,,,
20220511,0,,,
20220512,0,,,
20220513,0,,,
20220516,0,,,
20220517,0,,,
20220518,0,,,
20220519,0,,,
20220520,0,,,
20220523,0,,,
20220524,0,,,
20220525,0,,,
20220526,0,,,
20220527,0,,,
20220530,0,,,
20220531,0,,,
20220602,0,,,
20220603,0,,,
20220607,0,,,
20220608,0,,,
20220609,0,,,
20220610,0,,,
20220613,0,,,
20220614,0,,,
20220615,0,,,
20220616,0,,,
20220617,0,,,
20220620,0,,,
20220621,0,,,
20220622,0,,,
20220623,0,,,
20220624,0,,,
20220627,0,,,
20220628,0,,,
20220629,0,,,
20220630,0,,,
20220701,0,,,
20220704,0,,,
20220705,0,,,
20220706,0,,,
20220707,0,,,
20220708,0,,,
20220711,0,,,
20220712,0,,,
20220713,0,,,
20220714,0,,,
20220715,0,,,
20220718,0,,,
20220719,0,,,
20220720,0,,,
20220721,0,,,
20220722,0,,,
20220725,1,-150,-0.361,418
20220726,1,150,0.361,31
20220727,1,-200,-0.471,570
20220728,1,-150,-0.351,746
20220729,1,150,0.351,343
20220801,1,300,0.707,300
20220802,1,650,1.578,577
20220803,1,-100,-0.239,425
20220804,1,100,0.238,603
20220805,1,50,0.117,159
20220808,1,-50,-0.116,307
20220809,1,-200,-0.474,145
20220810,1,300,0.709,371
20220811,1,-50,-0.114,223
20220812,1,0,0.0,256
20220816,1,-100,-0.229,290
20220817,1,-350,-0.8,273
20220818,1,100,0.229,790
20220819,1,0,0.0,416
20220822,1,0,0.0,456
20220823,1,100,0.248,386
20220824,1,-150,-0.37,711
20220825,1,-200,-0.488,500
20220826,1,-150,-0.365,262
20220829,1,0,0.0,474
20220830,1,200,0.503,245
20220831,1,-50,-0.123,317
20220901,1,-100,-0.254,1472
20220902,1,-300,-0.768,1160
20220905,1,-150,-0.384,269
20220906,1,-200,-0.498,668
20220907,1,-450,-1.129,611
20220908,1,100,0.238,5412
20220913,1,-50,-0.115,2519
20220914,1,50,0.117,1047
20220915,1,200,0.469,359
20220916,1,50,0.12,165
20220919,1,100,0.245,291
20220920,1,250,0.622,280
20220921,1,200,0.505,209
20220922,1,0,0.0,156
20220923,1,150,0.385,187
20220926,1,0,0.0,685
20220927,1,-50,-0.138,80
20220928,1,100,0.275,160
20220929,1,-300,-0.839,156
20220930,1,-150,-0.415,333
20221004,1,-200,-0.525,104
20221005,1,50,0.129,121
20221006,1,-250,-0.642,286
20221007,1,-400,-1.028,68
20221011,1,-300,-0.8,424
20221012,1,-400,-1.048,1420
20221013,1,-100,-0.262,1387
20221014,1,-150,-0.391,161
20221017,1,100,0.254,308
20221018,1,-200,-0.508,185
20221019,1,250,0.645,132
20221020,1,-50,-0.131,401
20221021,1,0,0.0,790
20221024,1,0,0.0,106
20221025,1,100,0.263,271
20221026,1,-350,-0.897,179
20221027,1,-100,-0.256,311
20221028,1,-50,-0.136,1515
20221031,1,-150,-0.406,394
20221101,1,-50,-0.136,623
20221102,1,0,0.0,307
20221103,1,200,0.543,3056
20221104,1,100,0.273,538
20221107,1,-100,-0.262,846
20221108,1,-150,-0.389,701
20221109,1,100,0.256,597
20221110,1,-39050,-99.872,182
20221111,1,200,0.49,1367
20221114,1,200,0.494,1167
20221115,1,0,0.0,1026
20221116,1,100,0.247,230
20221117,1,100,0.255,226
20221118,1,300,0.779,285
20221121,1,50,0.134,426
20221122,1,-50,-0.136,258
20221123,1,0,0.0,628
20221124,1,50,0.134,152
20221125,1,100,0.27,793
20221128,1,50,0.137,201
20221129,1,150,0.409,81
20221130,1,300,0.801,361
20221201,1,150,0.4,178
20221202,1,150,0.407,1739
20221205,1,100,0.275,949
20221206,1,0,0.0,835
20221207,1,100,0.284,581
20221208,1,50,0.14,1021
20221209,1,200,0.557,1960
20221212,1,-100,-0.277,544
20221213,1,200,0.559,250
20221214,1,200,0.557,638
20221215,1,250,0.708,387
20221216,1,0,0.0,200
20221219,1,150,0.425,131
20221220,1,0,0.0,373
20221221,1,100,0.288,139
20221222,1,50,0.139,33
20221223,1,150,0.43,208
20221226,1,50,0.144,98
20221227,1,50,0.141,511
20221228,1,200,0.58,781
20221229,1,100,0.298,718
20230102,1,50,0.152,637
20230103,1,-50,-0.156,2251
20230104,1,-300,-0.897,1419
20230105,1,-400,-1.198,3478
20230106,1,-950,-2.79,627
20230109,1,-200,-0.575,112
20230110,1,200,0.569,266
20230111,1,-50,-0.14,345
20230112,1,200,0.556,285
20230113,1,100,0.279,1516
20230116,1,150,0.42,1810
20230117,1,200,0.562,728
20230118,1,100,0.282,653
20230119,1,0,0.0,1044
20230120,1,150,0.426,737
20230125,1,50,0.136,1022
20230126,1,-100,-0.267,136
20230127,1,-50,-0.133,425
20230130,1,-100,-0.266,352
20230131,1,0,0.0,1453
20230201,1,0,0.0,508
20230202,1,-200,-0.541,316
20230203,1,-400,-1.093,526
20230206,1,-650,-1.813,1248
20230207,1,-50,-0.139,269
20230208,1,-100,-0.268,248
20230209,1,50,0.136,222
20230210,1,-100,-0.269,2174
20230213,1,150,0.41,858
20230214,1,100,0.27,76
20230215,1,-50,-0.138,1344
20230216,1,50,0.134,947
20230217,1,-450,-1.224,456
20230220,1,400,1.04,694
20230221,1,100,0.264,954
20230222,1,-100,-0.273,1059
20230223,1,50,0.132,992
20230224,1,-100,-0.254,2146
20230227,1,-200,-0.517,1740
20230228,1,-250,-0.652,408
20230302,1,-450,-1.157,879
20230303,1,-50,-0.125,631
20230306,1,50,0.122,394
20230307,1,-41650,-99.88,1304
20230308,1,-550,-1.35,956
20230309,1,-40000,-100.251,1790
20230310,1,100,0.26,634
20230313,1,400,1.046,371
20230314,1,0,0.0,966
20230315,1,200,0.561,1327
20230316,1,350,0.972,390
20230317,1,500,1.359,363
20230320,1,-50,-0.136,109
20230321,1,150,0.405,364
20230322,1,50,0.134,476
20230323,1,0,0.0,385
20230324,1,100,0.267,401
20230327,1,250,0.678,1199
20230328,1,-200,-0.535,422
20230329,1,0,0.0,456
20230330,1,100,0.254,2452
20230331,1,0,0.0,2590
20230403,1,200,0.513,1499
20230404,1,150,0.388,453
20230405,1,100,0.259,366
20230406,1,0,0.0,1060
20230407,1,0,0.0,1230
20230410,1,,,1487
20230411,1,-350,-0.892,646
20230412,1,200,0.489,636
20230413,1,-200,-0.499,1292
20230414,1,-150,-0.37,1086
20230417,1,-50,-0.123,609
20230418,1,500,1.232,1234
20230419,1,150,0.368,741
20230420,1,-100,-0.246,519
20230421,1,50,0.12,1305
20230424,1,0,0.0,1627
20230425,1,50,0.126,943
20230426,1,350,0.866,767
20230427,1,100,0.246,1328
20230428,1,50,0.118,1549
20230502,1,400,0.967,1468
20230503,1,200,0.479,1178
20230504,1,-350,-0.837,1209
20230508,1,150,0.356,572
20230509,1,,,558
20230510,1,-50,-0.119,379
20230511,1,150,0.358,1033
20230512,1,-150,-0.356,1798
20230515,1,-150,-0.353,627
20230516,1,-150,-0.352,907
20230517,1,-800,-1.867,1018
20230518,1,0,0.0,1107
20230519,1,100,0.225,2181
20230522,1,0,0.0,1140
20230523,1,200,0.447,1853
20230524,1,-200,-0.45,773
20230525,1,250,0.548,3729
20230526,1,100,0.216,3128
20230530,1,50,0.108,2234
20230531,1,-50,-0.108,1985
20230601,1,-50,-0.11,1171
20230602,1,-200,-0.442,690
20230605,1,-100,-0.221,374
20230607,1,100,0.217,1270
20230608,1,100,0.221,1198
20230609,1,50,0.108,1326
20230612,1,50,0.11,1872
20230613,1,-150,-0.31,2045
20230614,1,300,0.636,2137
20230615,1,750,1.566,2629
20230616,1,200,0.421,2374
20230619,1,150,0.319,2528
20230620,1,250,0.538,1250
20230621,1,-50,-0.108,1023
20230622,1,-150,-0.326,991
20230623,1,0,0.0,1964
20230626,1,-50,-0.111,529
20230627,1,-100,-0.223,1689
20230628,1,0,0.0,1397
20230629,1,250,0.565,11517
20230630,1,50,0.113,1724
20230703,1,50,0.109,3347
20230704,1,100,0.219,1144
20230705,1,-100,-0.216,1100
20230706,1,50,0.111,1756
20230707,1,-150,-0.339,1081
20230710,1,150,0.34,729
20230711,1,0,0.0,321
20230712,1,0,0.0,209
20230713,1,0,0.0,3337
20230714,1,0,0.0,1114
20230717,1,50,0.108,734
20230718,1,-50,-0.108,626
20230719,1,50,0.108,465
20230720,1,50,0.107,705
20230721,1,-50,-0.108,580
20230724,1,0,0.0,730
20230725,1,-50,-0.115,2047
20230726,1,-200,-0.467,1734
20230727,1,-100,-0.219,2374
20230728,1,150,0.33,1430
20230731,1,150,0.338,571
20230801,1,-200,-0.441,2348
20230802,1,-200,-0.445,6686
20230803,1,-250,-0.556,2234
20230804,1,150,0.329,1212
20230807,1,0,0.0,3514
20230808,1,0,0.0,716
20230809,1,-200,-0.44,645
20230810,1,,,1072
20230811,1,-50,-0.109,3624
20230814,1,-100,-0.22,444
20230816,1,150,0.332,1437
20230817,1,100,0.228,1839
20230818,1,50,0.114,2116
20230821,1,-100,-0.227,1008
20230822,1,-150,-0.339,980
20230823,1,0,0.0,603
20230824,1,-150,-0.336,1045
20230825,1,50,0.115,1819
20230828,1,-150,-0.341,267
20230829,1,-100,-0.227,171
20230830,1,-300,-0.657,917
20230831,1,50,0.111,718
20230901,1,100,0.224,820
20230904,1,-450,-1.018,1446
20230905,1,-350,-0.796,6900
20230906,1,-150,-0.343,945
20230907,1,0,0.0,640
20230908,1,-50,-0.12,1587
20230911,1,50,0.125,1171
20230912,1,0,0.0,1730
20230913,1,-250,-0.607,922
20230914,1,-150,-0.362,2843
20230915,1,100,0.237,2558
20230918,1,100,0.24,1322
20230919,1,100,0.234,3958
20230920,1,-100,-0.231,1493
20230921,1,-100,-0.238,1839
20230922,1,0,0.0,1762
20230925,1,100,0.231,1327
20230926,1,-50,-0.117,1940
20230927,1,350,0.824,1186
20231004,1,-100,-0.242,3830
20231005,1,0,0.0,2245
20231006,1,0,0.0,395
20231010,1,0,0.0,1403
20231011,1,150,0.345,983
20231012,1,-44550,-99.888,1134
20231013,1,150,0.336,1869
20231016,1,-250,-0.563,1611
20231017,1,150,0.335,1884
20231018,1,50,0.112,2103
20231019,1,100,0.228,3175
20231020,1,-50,-0.117,1299
20231023,1,150,0.354,1970
20231024,1,-50,-0.117,1947
20231025,1,100,0.229,1203
20231026,1,350,0.815,1194
20231027,1,100,0.237,1825
20231030,1,150,0.347,1841
20231031,1,-200,-0.47,718
20231101,1,0,0.0,1938
20231102,1,50,0.111,2195
20231103,1,0,0.0,1353
20231106,1,-400,-0.847,1337
20231107,1,-200,-0.421,676
20231108,1,0,0.0,724
20231109,1,-47650,-99.582,1636
20231110,1,0,0.0,770
20231113,1,300,0.619,1357
20231114,1,-300,-0.621,1191
20231115,1,400,0.822,3260
20231116,1,-50,-0.101,766
20231117,1,-100,-0.206,710
20231120,1,-1350,-2.866,4068
20231121,1,0,0.0,1572
20231122,1,0,0.0,1233
20231123,1,-500,-1.02,1269
20231124,1,-450,-0.937,1101
20231127,1,50,0.102,1127
20231128,1,500,0.996,1964
20231129,1,550,1.101,1051
20231130,1,-400,-0.784,2977
20231201,1,400,0.815,1733
20231204,1,100,0.201,568
20231205,1,-350,-0.721,1797
20231206,1,-150,-0.308,678
20231207,1,-300,-0.613,477
20231208,1,-250,-0.504,332
20231211,1,250,0.501,59
20231212,1,250,0.501,714
20231213,1,-50200,-99.801,2353
20231214,1,0,0.0,587
20231215,1,-600,-1.174,1287
20231218,1,400,0.798,116
20231219,1,450,0.903,501
20231220,1,600,1.174,986
20231221,1,-300,-0.592,231
20231222,1,550,1.113,804
20231226,1,-1050,-2.106,1367
20231227,1,0,0.0,1901
20231228,1,900,1.711,3195
20240102,1,500,0.949,2752
20240103,1,500,1.011,2334
20240104,1,600,1.227,1073
20240105,1,100,0.205,304
20240108,1,350,0.726,647
20240109,1,0,0.0,1572
20240110,1,300,0.624,2015
20240111,1,750,1.538,995
20240112,1,50,0.103,1793
20240115,1,550,1.128,4228
20240116,1,200,0.419,2083
20240117,1,950,2.028,2361
20240118,1,100,0.211,2246
20240119,1,-100,-0.204,2653
20240122,1,100,0.199,1890
20240123,1,100,0.197,2583
20240124,1,100,0.2,1965
20240125,1,150,0.301,2266
20240126,1,500,0.994,1700
20240129,1,300,0.593,1613
20240130,1,200,0.388,1729
20240131,1,500,0.963,4560
20240201,1,-400,-0.746,3519
20240202,1,0,0.0,11960
20240205,1,-300,-0.506,9360
20240206,1,-300,-0.481,6268
20240207,1,-300,-0.453,6499
20240208,1,300,0.46,11047
20240213,1,300,0.457,10408
20240214,1,200,0.315,8602
20240215,1,200,0.321,8868
20240216,1,100,0.153,7519
20240219,1,100,0.144,10051
20240220,1,-100,-0.146,5833
20240221,1,-100,-0.144,4513
20240222,1,-600,-0.823,6173
20240223,1,200,0.289,9855
20240226,1,200,0.297,16519
20240227,1,100,0.153,7716
20240228,1,-100,-0.147,8337
20240229,1,-1600,-2.289,5873
20240304,1,400,0.57,5705
20240305,1,0,0.0,4659
20240306,1,-500,-0.7,4414
20240307,1,-100,-0.138,5233
20240308,1,0,0.0,7622
20240311,1,-200,-0.275,3257
20240312,1,-71800,-99.861,7717
20240313,1,-70600,-100.427,5329
20240314,1,-600,-0.866,5603
20240315,1,200,0.292,5724
20240318,1,-2600,-3.768,6236
20240319,1,300,0.437,5505
20240320,1,-1000,-1.441,7754
20240321,1,100,0.13,15389
20240322,1,-500,-0.625,13679
20240325,1,500,0.652,9440
20240326,1,-200,-0.254,9834
20240327,1,700,0.883,4876
20240328,1,-800,-1.018,6333
20240329,1,100,0.127,3073
20240401,1,-700,-0.927,11165
20240402,1,400,0.518,11978
20240403,1,-400,-0.523,9798
20240404,1,100,0.128,5184
20240405,1,100,0.132,6461
20240408,1,-73700,-99.729,6056
20240409,1,,,7321
20240411,1,-1700,-2.326,10458
20240412,1,-800,-1.027,8774
20240415,1,-700,-0.877,7455
20240416,1,-900,-1.125,11908
20240417,1,-1700,-2.157,12147
20240418,1,-900,-1.075,7890
20240419,1,-1500,-1.971,21090
20240422,1,-1500,-1.882,9679
