date,skhynix_shares,skhynix_price,skhynix_value,skhynix_conf,dreamus_shares,dreamus_price,dreamus_value,dreamus_conf,incross_shares,incross_price,incross_value,incross_conf,nanoentek_shares,nanoentek_price,nanoentek_value,nanoentek_conf,krafton_shares,krafton_price,krafton_value,krafton_conf,nexus_shares,nexus_price,nexus_value,nexus_conf,ionq_shares,ionq_price_usd,usdkrw,ionq_value,ionq_conf,total_listed_value,total_listed_value_trillion
20211130,146100000,114000.0,16655400000000.0,confirmed,29246387,26250.0,767717658750.0,confirmed,4631251,29083.0,134690672833.0,confirmed,7600649,7180.0,54572659820.0,confirmed,0,503000.0,0.0,none,0,7400.0,0.0,none,0,24.079999923706055,1190.739990234375,0.0,none,17612380991403.0,17.6124
20211201,146100000,116500.0,17020650000000.0,confirmed,29246387,29250.0,855456819750.0,confirmed,4631251,28895.0,133819997645.0,confirmed,7600649,7200.0,54724672800.0,confirmed,0,489000.0,0.0,none,0,6730.0,0.0,none,0,23.81999969482422,1182.8599853515625,0.0,none,18064651490195.0,18.0647
20211202,146100000,120000.0,17532000000000.0,confirmed,29246387,29600.0,865693055200.0,confirmed,4631251,29366.0,136001316866.0,confirmed,7600649,7590.0,57688925910.0,confirmed,0,502000.0,0.0,none,0,6160.0,0.0,none,0,20.75,1177.1099853515625,0.0,none,18591383297976.0,18.5914
20211203,146100000,118000.0,17239800000000.0,confirmed,29246387,31450.0,919798871150.0,confirmed,4631251,29429.0,136293085679.0,confirmed,7600649,7560.0,57460906440.0,confirmed,0,500000.0,0.0,none,0,8000.0,0.0,none,0,21.450000762939453,1176.77001953125,0.0,none,18353352863269.0,18.3534
20211206,146100000,118500.0,17312850000000.0,confirmed,29246387,28450.0,832059710150.0,confirmed,4631251,29397.0,136144885647.0,confirmed,7600649,7470.0,56776848030.0,confirmed,0,472500.0,0.0,none,0,8730.0,0.0,none,0,18.780000686645508,1183.1400146484375,0.0,none,18337831443827.0,18.3378
20211207,146100000,121500.0,17751150000000.0,confirmed,29246387,27400.0,801351003800.0,confirmed,4631251,29586.0,137020192086.0,confirmed,7600649,7670.0,58296977830.0,confirmed,0,465000.0,0.0,none,0,8010.0,0.0,none,0,18.790000915527344,1180.56005859375,0.0,none,18747818173716.0,18.7478
20211208,146100000,120000.0,17532000000000.0,confirmed,29246387,27900.0,815974197300.0,confirmed,4631251,30214.0,139928617714.0,confirmed,7600649,8140.0,61869282860.0,confirmed,0,464500.0,0.0,none,0,7700.0,0.0,none,0,21.530000686645508,1176.8399658203125,0.0,none,18549772097874.0,18.5498
20211209,146100000,123500.0,18043350000000.0,confirmed,29246387,28950.0,846682903650.0,confirmed,4631251,30025.0,139053311275.0,confirmed,7600649,7910.0,60121133590.0,confirmed,0,479000.0,0.0,none,0,7760.0,0.0,none,0,20.969999313354492,1172.56005859375,0.0,none,19089207348515.0,19.0892
20211210,146100000,120500.0,17605050000000.0,confirmed,29246387,29450.0,861306097150.0,confirmed,4631251,30025.0,139053311275.0,confirmed,7600649,7780.0,59133049220.0,confirmed,0,489500.0,0.0,none,0,7470.0,0.0,none,0,18.610000610351562,1177.3299560546875,0.0,none,18664542457645.0,18.6645
20211213,146100000,121500.0,17751150000000.0,confirmed,29246387,28750.0,840833626250.0,confirmed,4631251,31031.0,143712349781.0,confirmed,7600649,7780.0,59133049220.0,confirmed,0,489500.0,0.0,none,0,6720.0,0.0,none,0,18.56999969482422,1178.969970703125,0.0,none,18794829025251.0,18.7948
