date,hynix_value,other_listed_value_mtm,listed_value_mtm,unlisted_value,netcash_value,unlisted_src_q,netcash_src_q,nav_basis,other_listed_value_frozen,nav_mtm,nav_company,skq_close,skq_shares,skq_shares_basis,skq_market_cap,nav_per_share_mtm,nav_discount_pct_mtm,nav_per_share_company,nav_discount_pct_company,nav_mtm_trillion,nav_company_trillion
20211130,16655400000000.0,956980991403.0,17612380991403.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,956980991403.0,23259116991403.0,23259116991403.0,68000.0,141467571,분할상장 시점,9619794828000.0,164413.0,58.64,164413.0,58.64,23.2591,23.2591
20211201,17020650000000.0,1044001490195.0,18064651490195.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1044001490195.0,23711387490195.0,23711387490195.0,62700.0,141467571,분할상장 시점,8870016701700.0,167610.0,62.59,167610.0,62.59,23.7114,23.7114
20211202,17532000000000.0,1059383297976.0,18591383297976.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1059383297976.0,24238119297976.0,24238119297976.0,68700.0,141467571,분할상장 시점,9718822127700.0,171333.0,59.9,171333.0,59.9,24.2381,24.2381
20211203,17239800000000.0,1113552863269.0,18353352863269.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1113552863269.0,24000088863269.0,24000088863269.0,66000.0,141467571,분할상장 시점,9336859686000.0,169651.0,61.1,169651.0,61.1,24.0001,24.0001
20211206,17312850000000.0,1024981443827.0,18337831443827.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1024981443827.0,23984567443827.0,23984567443827.0,66000.0,141467571,분할상장 시점,9336859686000.0,169541.0,61.07,169541.0,61.07,23.9846,23.9846
20211207,17751150000000.0,996668173716.0,18747818173716.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,996668173716.0,24394554173716.0,24394554173716.0,65600.0,141467571,분할상장 시점,9280272657600.0,172439.0,61.96,172439.0,61.96,24.3946,24.3946
20211208,17532000000000.0,1017772097874.0,18549772097874.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1017772097874.0,24196508097874.0,24196508097874.0,64600.0,141467571,분할상장 시점,9138805086600.0,171039.0,62.23,171039.0,62.23,24.1965,24.1965
20211209,18043350000000.0,1045857348515.0,19089207348515.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1045857348515.0,24735943348515.0,24735943348515.0,65100.0,141467571,분할상장 시점,9209538872100.0,174852.0,62.77,174852.0,62.77,24.7359,24.7359
20211210,17605050000000.0,1059492457645.0,18664542457645.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1059492457645.0,24311278457645.0,24311278457645.0,63300.0,141467571,분할상장 시점,8954897244300.0,171851.0,63.17,171851.0,63.17,24.3113,24.3113
20211213,17751150000000.0,1043679025251.0,18794829025251.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1043679025251.0,24441565025251.0,24441565025251.0,63000.0,141467571,분할상장 시점,8912456973000.0,172772.0,63.54,172772.0,63.54,24.4416,24.4416
20211214,17678100000000.0,1027128691599.0,18705228691599.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1027128691599.0,24351964691599.0,24351964691599.0,60600.0,141467571,분할상장 시점,8572934802600.0,172138.0,64.8,172138.0,64.8,24.352,24.352
20211215,18043350000000.0,1032448428875.0,19075798428875.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1032448428875.0,24722534428875.0,24722534428875.0,58200.0,141467571,분할상장 시점,8233412632200.0,174758.0,66.7,174758.0,66.7,24.7225,24.7225
20211216,18116400000000.0,1013027454025.0,19129427454025.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1013027454025.0,24776163454025.0,24776163454025.0,56400.0,141467571,분할상장 시점,7978771004400.0,175137.0,67.8,175137.0,67.8,24.7762,24.7762
20211217,17824200000000.0,1075303427743.0,18899503427743.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1075303427743.0,24546239427743.0,24546239427743.0,57000.0,141467571,분할상장 시점,8063651547000.0,173511.0,67.15,173511.0,67.15,24.5462,24.5462
20211220,17605050000000.0,1054137156603.0,18659187156603.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1054137156603.0,24305923156603.0,24305923156603.0,58400.0,141467571,분할상장 시점,8261706146400.0,171813.0,66.01,171813.0,66.01,24.3059,24.3059
20211221,18189450000000.0,1096184748986.0,19285634748986.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1096184748986.0,24932370748986.0,24932370748986.0,60900.0,141467571,분할상장 시점,8615375073900.0,176241.0,65.45,176241.0,65.45,24.9324,24.9324
20211222,18554700000000.0,1088320067797.0,19643020067797.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1088320067797.0,25289756067797.0,25289756067797.0,65700.0,141467571,분할상장 시점,9294419414700.0,178767.0,63.25,178767.0,63.25,25.2898,25.2898
20211223,18627750000000.0,1098975233083.0,19726725233083.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1098975233083.0,25373461233083.0,25373461233083.0,64900.0,141467571,분할상장 시점,9181245357900.0,179359.0,63.82,179359.0,63.82,25.3735,25.3735
20211224,18700800000000.0,1084880272065.0,19785680272065.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1084880272065.0,25432416272065.0,25432416272065.0,65800.0,141467571,분할상장 시점,9308566171800.0,179776.0,63.4,179776.0,63.4,25.4324,25.4324
20211227,18408600000000.0,1030956584619.0,19439556584619.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1030956584619.0,25086292584619.0,25086292584619.0,65200.0,141467571,분할상장 시점,9223685629200.0,177329.0,63.23,177329.0,63.23,25.0863,25.0863
20211228,18627750000000.0,1027296395313.0,19655046395313.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1027296395313.0,25301782395313.0,25301782395313.0,64800.0,141467571,분할상장 시점,9167098600800.0,178852.0,63.77,178852.0,63.77,25.3018,25.3018
20211229,18554700000000.0,1043419692593.0,19598119692593.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1043419692593.0,25244855692593.0,25244855692593.0,64500.0,141467571,분할상장 시점,9124658329500.0,178450.0,63.86,178450.0,63.86,25.2449,25.2449
20211230,19139100000000.0,1070360452329.0,20209460452329.0,5657000000000.0,-10264000000.0,2020Q4,2021Q4,stub_as_of,1070360452329.0,25856196452329.0,25856196452329.0,66400.0,141467571,분할상장 시점,9393446714400.0,182771.0,63.67,182771.0,63.67,25.8562,25.8562
20220103,18773850000000.0,1087201204142.0,19861051204142.0,6487300000000.0,-10264000000.0,2021Q4,2021Q4,lagged,1070360452329.0,26338087204142.0,26321246452329.0,66500.0,141467571,분할상장 시점,9407593471500.0,186178.0,64.28,186059.0,64.26,26.3381,26.3212
20220104,18773850000000.0,1101964153475.0,19875814153475.0,6487300000000.0,-10264000000.0,2021Q4,2021Q4,lagged,1070360452329.0,26352850153475.0,26321246452329.0,70000.0,141467571,분할상장 시점,9902729970000.0,186282.0,62.42,186059.0,62.38,26.3529,26.3212
20220105,18335550000000.0,1111917401974.0,19447467401974.0,6487300000000.0,-10264000000.0,2021Q4,2021Q4,lagged,1070360452329.0,25924503401974.0,25882946452329.0,67600.0,141467571,분할상장 시점,9563207799600.0,183254.0,63.11,182960.0,63.05,25.9245,25.8829
20220106,18262500000000.0,1061581515606.0,19324081515606.0,6487300000000.0,-10264000000.0,2021Q4,2021Q4,lagged,1070360452329.0,25801117515606.0,25809896452329.0,61700.0,141467571,분할상장 시점,8728549130700.0,182382.0,66.17,182444.0,66.18,25.8011,25.8099
