date,sampling_role,reason
20211228,unused_low,not_in_matched_sample
20220120,unused_low,not_in_matched_sample
20220126,unused_low,not_in_matched_sample
20220127,unused_low,not_in_matched_sample
20220404,unused_low,not_in_matched_sample
20220421,unused_low,not_in_matched_sample
20220427,unused_low,not_in_matched_sample
20220428,unused_low,not_in_matched_sample
20220503,unused_low,not_in_matched_sample
20220504,unused_low,not_in_matched_sample
20220517,unused_low,not_in_matched_sample
20220518,unused_low,not_in_matched_sample
20220519,unused_low,not_in_matched_sample
20220524,unused_low,not_in_matched_sample
20220525,unused_low,not_in_matched_sample
20220602,unused_low,not_in_matched_sample
20220603,unused_low,not_in_matched_sample
20220614,unused_low,not_in_matched_sample
20220620,unused_low,not_in_matched_sample
20220621,unused_low,not_in_matched_sample
20220720,unused_low,not_in_matched_sample
20220721,unused_low,not_in_matched_sample
20220722,unused_low,not_in_matched_sample
20220725,unused_low,not_in_matched_sample
20220728,unused_low,not_in_matched_sample
20220729,unused_low,not_in_matched_sample
20220816,unused_low,not_in_matched_sample
20220817,unused_low,not_in_matched_sample
20220823,unused_low,not_in_matched_sample
20220826,unused_low,not_in_matched_sample
20220831,unused_low,not_in_matched_sample
20220901,unused_low,not_in_matched_sample
20220902,unused_low,not_in_matched_sample
20220913,unused_low,not_in_matched_sample
20220914,unused_low,not_in_matched_sample
20220915,unused_low,not_in_matched_sample
20220916,unused_low,not_in_matched_sample
20220919,unused_low,not_in_matched_sample
20220921,unused_low,not_in_matched_sample
20220922,unused_low,not_in_matched_sample
20220923,unused_low,not_in_matched_sample
20220930,unused_low,not_in_matched_sample
20221005,unused_low,not_in_matched_sample
20221007,unused_low,not_in_matched_sample
20221013,unused_low,not_in_matched_sample
20221019,unused_low,not_in_matched_sample
20221024,unused_low,not_in_matched_sample
20221028,unused_low,not_in_matched_sample
20221031,unused_low,not_in_matched_sample
20221101,unused_low,not_in_matched_sample
20221103,unused_low,not_in_matched_sample
20221108,unused_low,not_in_matched_sample
20221109,unused_low,not_in_matched_sample
20221110,unused_low,not_in_matched_sample
20221111,unused_low,not_in_matched_sample
20221114,unused_low,not_in_matched_sample
20221115,unused_low,not_in_matched_sample
20221116,unused_low,not_in_matched_sample
20221121,unused_low,not_in_matched_sample
20221124,unused_low,not_in_matched_sample
20221125,unused_low,not_in_matched_sample
20221128,unused_low,not_in_matched_sample
20221130,unused_low,not_in_matched_sample
20221201,unused_low,not_in_matched_sample
20221202,unused_low,not_in_matched_sample
20221205,unused_low,not_in_matched_sample
20221208,unused_low,not_in_matched_sample
20221209,unused_low,not_in_matched_sample
20221214,unused_low,not_in_matched_sample
20221215,unused_low,not_in_matched_sample
20221219,unused_low,not_in_matched_sample
20221221,unused_low,not_in_matched_sample
20221223,unused_low,not_in_matched_sample
20221226,unused_low,not_in_matched_sample
20221228,unused_low,not_in_matched_sample
20230106,unused_low,not_in_matched_sample
20230109,unused_low,not_in_matched_sample
20230110,unused_low,not_in_matched_sample
20230111,unused_low,not_in_matched_sample
20230112,unused_low,not_in_matched_sample
20230113,unused_low,not_in_matched_sample
20230117,unused_low,not_in_matched_sample
20230118,unused_low,not_in_matched_sample
20230119,unused_low,not_in_matched_sample
20230125,unused_low,not_in_matched_sample
20230126,unused_low,not_in_matched_sample
20230127,unused_low,not_in_matched_sample
20230130,unused_low,not_in_matched_sample
20230131,unused_low,not_in_matched_sample
20230201,unused_low,not_in_matched_sample
20230202,unused_low,not_in_matched_sample
20230203,unused_low,not_in_matched_sample
20230207,unused_low,not_in_matched_sample
20230208,unused_low,not_in_matched_sample
20230209,unused_low,not_in_matched_sample
20230210,unused_low,not_in_matched_sample
20230214,unused_low,not_in_matched_sample
20230215,unused_low,not_in_matched_sample
20230216,unused_low,not_in_matched_sample
20230217,unused_low,not_in_matched_sample
20230228,unused_low,not_in_matched_sample
20230306,unused_low,not_in_matched_sample
20230309,unused_low,not_in_matched_sample
20230315,unused_low,not_in_matched_sample
20230320,unused_low,not_in_matched_sample
20230324,unused_low,not_in_matched_sample
20230327,unused_low,not_in_matched_sample
20230330,unused_low,not_in_matched_sample
20230403,unused_low,not_in_matched_sample
20230404,unused_low,not_in_matched_sample
20230405,unused_low,not_in_matched_sample
20230411,unused_low,not_in_matched_sample
20230413,unused_low,not_in_matched_sample
20230417,unused_low,not_in_matched_sample
20230418,unused_low,not_in_matched_sample
20230419,unused_low,not_in_matched_sample
20230420,unused_low,not_in_matched_sample
20230421,unused_low,not_in_matched_sample
20230425,unused_low,not_in_matched_sample
20230426,unused_low,not_in_matched_sample
20230427,unused_low,not_in_matched_sample
20230503,unused_low,not_in_matched_sample
20230509,unused_low,not_in_matched_sample
20230510,unused_low,not_in_matched_sample
20230511,unused_low,not_in_matched_sample
20230512,unused_low,not_in_matched_sample
20230517,unused_low,not_in_matched_sample
20230518,unused_low,not_in_matched_sample
20230519,unused_low,not_in_matched_sample
20230522,unused_low,not_in_matched_sample
20230523,unused_low,not_in_matched_sample
