date,year,skq_ret,hynix_ret,divergence,w_hynix,beta_roll120,beta_minus_w_roll120,divergence_slope_roll120
20211130,2021,-10.53,-1.72,,,,,
20211201,2021,-7.79,2.19,-9.73,0.7160804946359806,,,
20211202,2021,9.57,3.0,7.35,0.7178259815895752,,,
20211203,2021,-3.93,-1.67,-2.95,0.723323447024374,,,
20211206,2021,0.0,0.42,0.06,0.7183223403136935,,,
20211207,2021,-0.61,2.53,-2.32,0.7218329052857643,,,
20211208,2021,-1.52,-1.23,-0.71,0.7276685555961518,,,
20211209,2021,0.77,2.92,-1.46,0.7245673602605671,,,
20211210,2021,-2.76,-2.43,-1.04,0.7294385237619497,,,
20211213,2021,-0.47,0.83,-1.01,0.7241515509219904,,,
20211214,2021,-3.81,-0.41,-3.44,0.7262689595228858,,,
20211215,2021,-3.96,2.07,-5.48,0.7259414270627057,,,
20211216,2021,-3.09,0.4,-3.31,0.72983415401481,,,
20211217,2021,1.06,-1.61,1.99,0.7312027963335425,,,
20211220,2021,2.46,-1.23,3.44,0.7261478913081276,,,
20211221,2021,4.28,3.32,1.7,0.7243111025477497,,,
20211222,2021,7.88,2.01,6.45,0.7295515610259311,,,
20211223,2021,-1.22,0.39,-1.55,0.7336844195040236,,,
20211224,2021,1.39,0.39,1.16,0.7341430413802728,,,
20211227,2021,-0.91,-1.56,0.45,0.735313538436416,,,
20211228,2021,-0.61,1.19,-1.47,0.7338111017363621,,,
20211229,2021,-0.46,-0.39,-0.24,0.7362228363583855,,,
20211230,2021,2.95,3.15,0.53,0.7349893469759095,,,
20220103,2022,0.15,,1.46,0.7171829406002705,,,
20220104,2022,5.26,0.0,5.2,0.712802332777134,,,
20220105,2022,-3.43,-2.33,-1.8,0.7124030186740313,,,
20220106,2022,-8.73,-0.4,-8.25,0.7072671640299908,,,
20220107,2022,-1.13,1.6,-2.37,0.7078181783774982,,,
20220110,2022,-5.74,-1.97,-4.15,0.710355907679814,,,
20220111,2022,-0.52,2.81,-2.49,0.7076041742808022,,,
20220112,2022,3.85,0.39,3.54,0.7134213811003873,,,
20220113,2022,-2.36,0.78,-2.87,0.7140220813838867,,,
20220114,2022,1.72,-0.77,2.21,0.7159497623400255,,,
20220117,2022,0.51,-1.17,1.62,0.7138860395772939,,,
20220118,2022,6.07,-0.39,6.42,0.7134885598478368,,,
20220119,2022,-0.95,0.4,-1.14,0.7132020556835225,,,
20220120,2022,0.32,-1.57,1.43,0.7146894812842205,,,
20220121,2022,-2.72,-4.8,0.77,0.7113068841716964,,,
20220124,2022,-2.63,0.0,-2.49,0.7016217098856027,,,
20220125,2022,-4.22,-0.84,-3.51,0.7026309112761652,,,
20220126,2022,0.88,-0.42,1.16,0.7017188980035137,,,
20220127,2022,-4.2,-3.4,-1.69,0.7007320459056601,,,
20220128,2022,0.36,6.17,-4.1,0.6943057319712139,,,
20220203,2022,2.18,,0.07,0.7056325691584584,,,
20220204,2022,1.25,0.4,0.98,0.7111350756175632,,,
20220207,2022,2.28,-1.2,3.14,0.7120676250611825,,,
20220208,2022,0.69,1.63,-0.46,0.709622345605737,,,
20220209,2022,2.05,0.8,1.43,0.712976843509769,,,
20220210,2022,-4.52,2.78,-6.45,0.7142590222261435,,,
20220211,2022,-0.53,1.93,-1.82,0.7201700887430396,,,
20220214,2022,-3.87,0.38,-4.04,0.7247483635057383,,,
20220215,2022,-5.31,-4.15,-2.21,0.7262438589874182,,,
20220216,2022,5.8,2.76,3.69,0.7183905578293184,,,
20220217,2022,-0.91,1.92,-2.28,0.7229149277582592,,,
20220218,2022,0.0,-1.13,0.77,0.7267834651000288,,,
20220221,2022,2.95,-1.14,3.77,0.7241423212957598,,,
20220222,2022,-1.25,-1.15,-0.31,0.7217876374353213,,,
20220223,2022,4.72,0.0,4.73,0.7202238970730284,,,
20220224,2022,-4.16,-4.67,-0.7,0.7203107889921767,,,
20220225,2022,3.62,0.41,3.28,0.7112900947867814,,,
20220228,2022,-2.62,0.41,-2.91,0.7117774034153188,,,
20220302,2022,-3.05,,-3.96,0.7125921837421099,,,
20220303,2022,1.85,3.2,-0.48,0.7147199786394697,,,
20220304,2022,-3.81,-3.49,-1.31,0.7208212386843114,,,
20220307,2022,-4.34,-4.02,-1.36,0.7135409617131749,,,
20220308,2022,-2.86,-1.26,-1.97,0.7059150117529718,,,
20220310,2022,5.38,,4.14,0.7033198161713323,,,
20220311,2022,-0.96,-2.5,0.78,0.7064615238179267,,,
20220314,2022,1.56,-0.85,2.22,0.7010242681287818,,,
20220315,2022,-1.72,-3.02,0.4,0.6996411380781264,,,
20220316,2022,0.0,3.56,-2.63,0.6932317248477556,,,
20220317,2022,2.53,6.44,-1.98,0.6994808270714896,,,
20220318,2022,1.71,0.0,1.64,0.7123699942993489,,,
20220321,2022,0.0,-1.61,1.08,0.7118806881500931,,,
20220322,2022,0.37,1.23,-0.52,0.7080225867256269,,,
20220323,2022,3.72,0.0,3.79,0.7104070987093914,,,
20220324,2022,-0.18,-2.43,1.53,0.710933609379067,,,
20220325,2022,-0.9,-2.07,0.51,0.7057636234373322,,,
20220328,2022,2.9,0.0,2.86,0.7009708568549055,,,
20220329,2022,1.41,1.69,0.25,0.7007113308112265,,,
20220330,2022,-2.26,0.83,-2.84,0.7044402228758644,,,
20220331,2022,1.07,-2.48,2.8,0.7062048944331475,,,
20220401,2022,-0.88,-1.69,0.3,0.700286600391447,,,
20220404,2022,-0.18,0.86,-0.82,0.6966230279714826,,,
20220405,2022,0.53,-0.43,0.77,0.6981349703235059,,,
20220406,2022,0.35,-3.0,2.51,0.6968528805942488,,,
20220407,2022,-2.29,0.44,-2.47,0.6908498843344701,,,
20220408,2022,1.44,-1.32,2.32,0.6926930225927739,,,
20220411,2022,-0.18,-0.45,0.17,0.6896161333316048,,,
20220412,2022,-1.25,-0.45,-0.88,0.6889248230965898,,,
20220413,2022,2.89,1.8,1.63,0.6883813238844544,,,
20220414,2022,0.88,-2.65,2.72,0.6920327962553753,,,
20220415,2022,-0.7,-1.82,0.53,0.6862638268798407,,,
20220418,2022,-2.45,0.93,-3.07,0.682188963444378,,,
20220419,2022,1.44,3.21,-0.75,0.6842416155593589,,,
20220420,2022,0.35,0.0,0.35,0.6910577545666199,,,
20220421,2022,-0.71,0.44,-1.01,0.6910636647007635,,,
20220422,2022,-1.6,-2.21,-0.14,0.6920774109782909,,,
20220425,2022,-1.62,-2.26,-0.03,0.6868241946424776,,,
20220426,2022,-0.18,2.78,-2.03,0.6821130227932547,,,
20220427,2022,-2.94,-2.25,-1.32,0.688325583437131,,,
20220428,2022,-0.38,0.92,-0.95,0.6838931523823101,,,
20220429,2022,0.19,2.74,-1.7,0.6862933127852398,,,
20220502,2022,-2.47,-1.78,-1.19,0.692046724189231,,,
20220503,2022,0.0,-0.45,0.25,0.6885302136782928,,,
20220504,2022,-1.75,-0.45,-1.47,0.687113756037356,,,
20220506,2022,-4.16,,-2.86,0.6858816026138143,,,
20220509,2022,-5.27,0.0,-5.15,0.6821963389376738,,,
20220510,2022,0.76,2.33,-0.85,0.6829907636634427,,,
20220511,2022,-3.25,0.45,-3.56,0.6877844889464327,,,
20220512,2022,-3.58,-1.36,-2.52,0.6887718269105046,,,
20220513,2022,3.02,3.21,0.82,0.6866924439762564,,,
20220516,2022,0.45,-1.78,1.69,0.6935152116534434,,,
20220517,2022,0.11,1.81,-1.13,0.6897552359217757,,,
20220518,2022,0.78,0.89,0.16,0.6936159548935265,,,
20220519,2022,-0.67,-2.2,0.89,0.6954697132097423,,,
20220520,2022,3.69,1.35,2.74,0.6909399419342959,,,
20220523,2022,1.29,0.44,0.97,0.6937068620784469,,,
20220524,2022,-3.09,-3.98,-0.28,0.6945942106238545,,,
20220525,2022,0.99,-0.46,1.32,0.686249368014332,0.545107605265071,-0.14114176274926105,-0.20401995474835247
