date,skq_ret,hynix_ret,divergence,nav_discount_pct,nav_discount_delta,event_count,event_titles,source_types
2021-12-01,-7.79,2.19,-9.47,62.9,3.9,0,,
2021-12-07,-0.61,2.53,-2.55,62.4,1.0,0,,
2021-12-13,-0.47,0.83,-1.03,64.0,0.4,0,,
2021-12-15,-3.96,2.07,-5.5,67.1,1.9,0,,
2021-12-16,-3.09,0.4,-3.47,68.2,1.1,0,,
2021-12-17,1.06,-1.61,2.26,67.5,-0.7,0,,
2021-12-20,2.46,-1.23,3.46,66.4,-1.1,0,,
2021-12-23,-1.22,0.39,-1.49,64.2,0.5,0,,
2021-12-28,-0.61,1.19,-1.6,64.3,0.6,1,"SK스퀘어, 국내최대 農 혁신기업 ‘그린랩스’에 투자",homepage
2022-01-07,-1.13,1.6,-2.41,66.3,0.8,0,,
2022-01-11,-0.52,2.81,-2.67,68.6,0.9,0,,
2022-01-13,-2.36,0.78,-2.99,68.4,0.9,0,,
2022-01-14,1.72,-0.77,2.36,67.7,-0.7,0,,
2022-01-17,0.51,-1.17,1.43,67.2,-0.5,3,"현대차증권 목표주가 90000원 신규 제시 (매수) | 원스토어 2021년 매출 2067억(YoY+33.2%), 영업손실 60억(적자지속) 전망 | SK스퀘어 2021년 매출 3.5조원, 영업이익 13억원 전망",analyst
2022-01-18,6.07,-0.39,6.42,65.1,-2.1,0,,
2022-01-19,-0.95,0.4,-1.23,65.5,0.4,0,,
2022-01-20,0.32,-1.57,1.52,65.0,-0.5,0,,
2022-01-26,0.88,-0.42,1.2,66.4,-0.4,0,,
2022-02-07,2.28,-1.2,3.22,67.0,-1.0,0,,
2022-02-10,-4.52,2.78,-6.65,68.9,2.2,1,주요사항보고서(자기주식처분결정),dart
2022-02-11,-0.53,1.93,-2.01,69.5,0.6,1,재무상태표 – 2021년 11월 1일 기준,homepage
2022-02-14,-3.87,0.38,-4.14,70.7,1.2,0,,
2022-02-17,-0.91,1.92,-2.41,71.0,0.7,0,,
2022-02-21,2.95,-1.14,3.84,69.7,-1.1,0,,
2022-02-28,-2.62,0.41,-2.94,68.4,0.9,1,Q4 ’21 Portfolio Update,homepage
2022-03-14,1.56,-0.85,2.23,69.0,-0.7,0,,
2022-03-30,-2.26,0.83,-2.87,67.7,0.9,0,,
2022-03-31,1.07,-2.48,2.97,66.7,-1.0,3,SK하이닉스 1분기 배당으로 SK스퀘어 2770억원 수익 | SK쉴더스 IPO 하단 기준 시총으로 가치 재산정 | SK엠앤서비스 723억원에 매각 (SK스퀘어에 500억원 배당금 유입),analyst
2022-04-04,-0.18,0.86,-0.83,66.9,0.3,0,,
2022-04-05,0.53,-0.43,0.87,66.6,-0.3,0,,
2022-04-06,0.35,-3.0,2.65,65.7,-0.9,0,,
2022-04-07,-2.29,0.44,-2.67,66.6,0.9,0,,
2022-04-08,1.44,-1.32,2.47,65.8,-0.8,0,,
2022-04-14,0.88,-2.65,2.89,64.5,-1.0,0,,
2022-04-18,-2.45,0.93,-3.14,65.4,1.2,1,나노엔텍 지분 580억원에 매각 결정,analyst
2022-04-21,-0.71,0.44,-1.04,65.9,0.3,0,,
2022-04-26,-0.18,2.78,-2.25,66.6,0.8,0,,
2022-04-28,-0.38,0.92,-1.08,67.4,0.4,0,,
2022-05-11,-3.25,0.45,-3.57,72.4,1.0,1,원스토어 상장 철회 (시장 상황 악화),analyst
2022-05-16,0.45,-1.78,1.8,72.5,-0.5,2,"2022년 매출 5.5조원, 영업이익 2.4조원 전망 | 다올투자증권 목표주가 61000원 제시 (매수)",analyst
2022-05-25,0.99,-0.46,1.34,71.2,-0.4,0,,
2022-06-09,1.42,-0.47,1.77,70.3,-0.5,0,,
2022-06-14,-0.23,0.1,-0.28,71.3,0.1,0,,
