date,skq_ret,hynix_ret,divergence,nav_discount_pct,nav_discount_delta,event_count,event_titles,source_types
2021-11-30,-10.53,-1.72,-9.17,59.0,4.2,1,11번가 월간 활성 사용자수(MAU) 1000만명 돌파,analyst
2021-12-02,9.57,3.0,7.27,60.2,-2.7,0,,
2021-12-03,-3.93,-1.67,-2.66,61.3,1.1,0,,
2021-12-08,-1.52,-1.23,-0.64,62.6,0.2,0,,
2021-12-09,0.77,2.92,-1.53,63.2,0.6,0,,
2021-12-10,-2.76,-2.43,-1.03,63.6,0.4,0,,
2021-12-14,-3.81,-0.41,-3.48,65.2,1.2,0,,
2021-12-21,4.28,3.32,1.74,65.8,-0.6,0,,
2021-12-22,7.88,2.01,6.35,63.7,-2.1,0,,
2021-12-24,1.39,0.39,1.05,63.8,-0.4,0,,
2021-12-27,-0.91,-1.56,0.33,63.7,-0.1,0,,
2021-12-29,-0.46,-0.39,-0.24,64.4,0.1,0,,
2021-12-30,2.95,3.15,0.49,64.2,-0.2,0,,
2022-01-05,-3.43,-2.33,-1.56,62.3,0.6,0,,
2022-01-06,-8.73,-0.4,-8.36,65.5,3.2,0,,
2022-01-10,-5.74,-1.97,-4.16,67.7,1.7,0,,
2022-01-12,3.85,0.39,3.5,67.5,-1.1,0,,
2022-01-21,-2.72,-4.8,1.04,64.6,-0.4,0,,
2022-01-25,-4.22,-0.84,-3.54,66.8,1.3,0,,
2022-01-27,-4.2,-3.4,-1.57,66.9,0.5,0,,
2022-01-28,0.36,6.17,-4.36,68.3,1.4,0,,
2022-02-04,1.25,0.4,0.92,68.0,-0.3,0,,
2022-02-08,0.69,1.63,-0.57,67.1,0.1,0,,
2022-02-09,2.05,0.8,1.39,66.7,-0.4,0,,
2022-02-15,-5.31,-4.15,-2.02,71.3,0.6,0,,
2022-02-16,5.8,2.76,3.62,70.3,-1.0,0,,
2022-02-22,-1.25,-1.15,-0.31,69.8,0.1,0,,
2022-02-24,-4.16,-4.67,-0.48,68.5,0.2,0,,
2022-02-25,3.62,0.41,3.29,67.5,-1.0,0,,
2022-03-03,1.85,3.2,-0.65,69.9,0.2,0,,
2022-03-04,-3.81,-3.49,-1.09,70.2,0.3,0,,
2022-03-07,-4.34,-4.02,-1.24,70.6,0.4,0,,
2022-03-08,-2.86,-1.26,-1.87,71.1,0.5,0,,
2022-03-11,-0.96,-2.5,0.9,69.7,-0.3,0,,
2022-03-15,-1.72,-3.02,0.59,68.8,-0.2,0,,
2022-03-17,2.53,6.44,-2.37,70.3,0.6,0,,
2022-03-22,0.37,1.23,-0.57,69.6,0.1,0,,
2022-03-24,-0.18,-2.43,1.71,67.9,-0.6,0,,
2022-03-25,-0.9,-2.07,0.69,67.7,-0.2,0,,
2022-03-29,1.41,1.69,0.09,66.8,0.0,1,"SK스퀘어, 제1기 정기 주주총회 개최",homepage
2022-04-01,-0.88,-1.69,0.42,66.6,-0.1,0,,
2022-04-11,-0.18,-0.45,0.17,65.7,-0.1,0,,
2022-04-12,-1.25,-0.45,-0.92,66.0,0.3,1,콘텐츠웨이브 주주배정 유상증자,analyst
2022-04-13,2.89,1.8,1.52,65.5,-0.5,0,,
2022-04-15,-0.7,-1.82,0.65,64.2,-0.3,1,원스토어 유상증자 (스톡옵션),analyst
2022-04-19,1.44,3.21,-0.96,65.7,0.3,0,,
2022-04-22,-1.6,-2.21,0.09,65.9,0.0,0,,
2022-04-25,-1.62,-2.26,0.12,65.8,-0.1,0,,
2022-04-27,-2.94,-2.25,-1.23,67.0,0.4,0,,
2022-04-29,0.19,2.74,-1.87,68.0,0.6,0,,
2022-05-02,-2.47,-1.78,-1.13,68.3,0.3,3,"서울공항리무진 인수 (티맵 모빌리티 자회사 편입) | 자기주식 5,208주 사외이사 보수로 처분 | SK쉴더스 공모가 우려 및 상장 철회로 주가 하락",analyst
2022-05-04,-1.75,-0.45,-1.41,68.7,0.5,0,,
2022-05-10,0.76,2.33,-0.98,71.4,0.2,0,,
2022-05-12,-3.58,-1.36,-2.54,73.2,0.8,0,,
