date,skq_ret,hynix_ret,divergence,nav_discount_pct,nav_discount_delta,event_count,event_titles,source_types
2021-12-06,0.0,0.42,-0.35,61.4,0.1,0,,
2022-01-04,5.26,0.0,5.26,61.7,-1.9,0,,
2022-01-24,-2.63,0.0,-2.59,65.5,0.9,0,,
2022-02-18,0.0,-1.13,0.84,70.8,-0.2,0,,
2022-02-23,4.72,0.0,4.7,68.3,-1.5,0,,
2022-03-16,0.0,3.56,-2.74,69.7,0.9,0,,
2022-03-18,1.71,0.0,1.71,69.8,-0.5,1,2021-Pro Forma 연결재무제표,homepage
2022-03-21,0.0,-1.61,1.26,69.5,-0.3,1,11번가 상장 철회,analyst
2022-03-23,3.72,0.0,3.71,68.5,-1.1,0,,
2022-03-28,2.9,0.0,2.86,66.8,-0.9,0,,
2022-04-20,0.35,0.0,0.34,65.6,-0.1,0,,
2022-05-03,0.0,-0.45,0.34,68.2,-0.1,0,,
2022-05-09,-5.27,0.0,-5.23,71.2,1.6,4,"SK쉴더스, 글로벌 긴축 및 수요예측 부진으로 증권신고서 철회(상장 연기) 단독 보도 | SK스퀘어-SKT, 글로벌 게임사 ‘해긴’에 공동 투자 | 원스토어, 수요예측 참패 및 재무적 투자자(FI) 반대로 상장 철회 최종 결정 단독 보도 | SK쉴더스 상장 철회 (시장 상황 악화)","analyst,homepage,news"
2022-06-03,1.73,0.0,1.73,70.4,-0.5,0,,
2022-07-11,0.0,-1.16,0.83,72.2,-0.3,0,,
2022-07-14,-1.97,0.0,-1.97,72.3,0.5,0,,
2022-07-25,1.09,0.0,1.1,72.3,-0.4,0,,
2022-07-26,0.0,0.5,-0.37,72.5,0.2,0,,
2022-08-04,0.48,0.0,0.46,71.6,-0.1,0,,
2022-08-12,-1.14,0.0,-1.14,69.8,0.4,0,,
2022-09-05,0.0,-0.65,0.47,72.2,-0.2,0,,
2022-09-08,5.65,0.0,5.62,69.9,-1.6,0,,
2022-09-21,-1.49,0.0,-1.48,71.1,0.4,1,"대신증권 SK스퀘어 목표주가 58,000원으로 제시 (매수)",analyst
2022-10-18,0.0,0.63,-0.47,73.0,0.2,0,,
2022-10-27,0.0,-4.15,3.0,72.0,-0.8,0,,
2022-11-10,0.0,-0.11,0.07,71.7,0.0,0,,
2022-11-23,2.18,0.0,2.17,72.0,-0.6,0,,
2022-11-24,0.0,2.0,-1.41,72.4,0.4,0,,
2022-12-06,-1.79,0.0,-1.78,72.4,0.5,0,,
2022-12-21,0.0,-0.38,0.26,72.4,-0.1,0,,
2022-12-27,2.02,0.0,2.01,71.7,-0.6,0,,
2023-04-17,0.0,-0.9,0.64,70.5,-0.2,0,,
