feature,oos_permutation_mae_increase_mean,oos_permutation_positive_folds,xgb_gain_mean,residual_enet_coefficient_mean,residual_enet_nonzero_folds,residual_enet_sign_consistency
news_sentiment_score_max,0.0028055139154708844,2,0.02179068000987172,-0.0064209974864455465,1,1.0
news_weighted_sentiment_sum,0.0015401742721105616,2,0.012901375303044915,0.29654039159229195,4,1.0
news_surprise_magnitude_max,0.0013442283587971244,2,0.005798939615488052,0.031206584341261535,1,1.0
news_event_stage_announcement,0.0009097335184273063,2,0.008360038511455059,0.19996430926896877,3,1.0
news_sentiment_score_mean,0.00047269006605736097,2,0.017630627611652017,0.007931494037972437,1,1.0
news_weighted_materiality_sum,0.0003781777364616675,2,0.012141555780544877,0.006135685461011696,2,1.0
news_availability_partial_text,0.00017901376847175482,2,0.012703742599114776,-0.058622986895074725,4,1.0
news_full_text_share,6.169748537567428e-05,2,0.008749411441385746,-0.004858802225749529,2,1.0
news_event_stage_follow_up,-0.0006259222110523246,2,0.01859122235327959,-0.04017441763272048,4,1.0
news_materiality_score_max,0.00012168197586907385,1,0.0021365422289818525,0.040421506560218146,1,1.0
news_mechanism_governance,8.666299226633978e-05,1,0.005610666470602155,0.10367493427132665,4,0.75
news_uncertainty_score_max,6.868360227603917e-05,1,0.005438977153971791,0.0911772055703618,3,1.0
news_confidence_score_max,5.508374015187704e-05,1,0.004541619680821896,0.015572472537837384,1,1.0
news_impact_horizon_one_to_four_weeks,4.724454627617428e-05,1,0.0050834533758461475,-0.0014040665927805525,1,1.0
news_relevance_score_mean,-1.435899817901301e-05,1,0.007278341334313154,0.09661693185273143,2,1.0
news_confidence_score_mean,-4.025089642166006e-05,1,0.005896923132240772,0.02565279436353364,2,1.0
news_weighted_surprise_direction_sum,-8.531131262654959e-05,1,0.008874828461557627,0.008470306188841429,1,1.0
news_ex_ante_impact_direction_mean,-0.00019010859439685018,1,0.007153189042583108,-0.04423687179461659,3,1.0
news_uncertainty_score_mean,-0.00019433712515661467,1,0.007183909649029374,0.004813538162675456,2,0.5
news_novelty_score_mean,-0.0003407009351173995,1,0.006977961165830493,0.0,0,0.0
news_event_time_bucket_post_close,-0.0004510916011175222,1,0.007212416734546423,0.04648710505256127,2,1.0
news_mechanism_supply_demand,-0.0007273960327278487,1,0.01670736027881503,-0.44027836797947295,4,1.0
news_event_time_bucket_unknown,0.0,0,0.00410469202324748,-0.004727981158129157,1,1.0
news_article_count,0.0,0,0.0,0.0,0,0.0
news_has_article,0.0,0,0.0,0.03211476219244358,1,1.0
news_forward_looking_share,0.0,0,0.0,-0.2735501391108429,4,1.0
news_materiality_score_mean,0.0,0,0.0,0.0793370341201266,3,1.0
news_ex_ante_impact_direction_max,0.0,0,0.0,0.032061667461475124,2,0.5
news_primary_subject_governance,0.0,0,0.0,0.09649654148169129,4,1.0
news_primary_subject_macro_market,0.0,0,0.0,0.025124299474840815,2,1.0
news_primary_subject_market_flow,0.0,0,0.0,0.0,0,0.0
news_primary_subject_other,0.0,0,0.0,0.08206592788801464,4,0.75
news_primary_subject_portfolio_company,0.0,0,0.0,-0.13431430645797227,4,1.0
news_primary_subject_regulation,0.0,0,0.0,0.002069295273925966,1,1.0
news_primary_subject_semiconductor_sector,0.0,0,0.0,-0.059383917673679995,4,1.0
news_primary_subject_shareholder_policy,0.0,0,0.0,0.07252997612904036,4,1.0
news_primary_subject_sk_hynix,0.0,0,0.0,-0.042224123476480545,4,1.0
news_event_type_analyst_opinion,0.0,0,0.0,0.030640276445970414,2,1.0
news_event_type_capital_return,0.0,0,0.0,-0.08314483841398727,4,1.0
news_event_type_earnings,0.0,0,0.0,-0.23518159699914137,4,1.0
news_event_type_financing,0.0,0,0.0,-0.1848095108052995,4,1.0
news_event_type_governance,0.0,0,0.0,-0.0421528273012392,3,1.0
news_event_type_ipo,0.0,0,0.0,0.12163272681739246,4,0.75
